Plot,Observers,Date,N,E,S,W,Average,CoverValue
CS_01,YW & AM,2019-07-09,15,33,24,6,19.5,83.72
CS_02,YW & AM,2019-07-10,96,96,96,96,96,4.16
CS_03,YW & AM,2019-07-10,15,19,5,13,13,90.48
CS_04,YW & AM,2019-07-11,15,48,4,15,20.5,82.68
CS_05,YW & AM,2019-07-11,19,11,8,5,10.75,92.82
CS_06,IR & GR,2019-07-09,7,29,12,14,15.5,87.88
CS_07,IR & GR,2019-07-10,2,2,5,5,3.5,100.36
CS_08,IR & GR,2019-07-11,1,2,3,3,2.25,101.66
CS_09,IR & GR,2019-07-11,80,96,91,47,78.5,22.36
CS_10,IR & GR,2019-07-10,18,9,58,21,26.5,76.44
CS_11,YW & AM,2019-07-11,40,55,47,21,40.75,61.62
CS_12,YW & AM,2019-07-12,76,96,53,72,74.25,26.78
CS_13,YW & AM,2019-07-12,61,9,34,12,29,73.84
CS_14,YW & AM,2019-07-12,7,96,13,7,30.75,72.02
CS_15,IR & GR,2019-07-12,2,4,0,1,1.75,102.18
CS_16,IR & GR,2019-07-12,7,17,23,3,12.5,91
CS_17,IR & GR,2019-07-12,3,1,28,4,9,94.64
CS_18,IR & GR,2019-07-19,1,4,5,7,4.25,99.58
CS_19,IR & GR,2019-07-17,15,23,42,11,22.75,80.34
CS_20,IR & GR,2019-07-24,35,8,4,2,12.25,91.26
CS_21,IR & GR,2019-07-22,5,14,3,4,6.5,97.24
CS_22,IR & GR,2019-07-15,1,3,3,1,2,101.92
CS_23,IR & GR,2019-07-26,11,5,19,2,9.25,94.38
CS_24,IR & GR,2019-07-22,4,8,9,4,6.25,97.5
CS_25,IR & GR,2019-07-16,68,87,7,74,59,42.64
CS_26,IR & GR,2019-07-25,8,4,1,6,4.75,99.06
CS_27,IR & GR,2019-07-21,36,0,9,8,13.25,90.22
CS_28,IR & GR,2019-07-28,36,94,87,78,73.75,27.3
CS_29,YW & AM,2019-07-13,14,3,4,5,6.5,97.24
CS_30,IR & GR,2019-07-30,6,0,12,10,7,96.72
CS_31,IR & GR,2019-07-20,3,1,2,3,2.25,101.66
CS_32,IR & GR,2019-07-27,4,5,1,17,6.75,96.98
CS_33,IR & GR,2019-07-16,1,3,1,3,2,101.92
CS_34,IR & GR,2019-07-13,1,0,2,1,1,102.96
CS_35,IR & GR,2019-07-29,10,4,11,14,9.75,93.86
CS_36,IR & GR,2019-07-14,1,1,0,1,0.75,103.22
CS_37,IR & GR,2019-07-25,94,24,96,96,77.5,23.4
CS_38,IR & GR,2019-07-22,8,6,3,6,5.75,98.02
CS_39,IR & GR,2019-07-24,6,13,21,4,11,92.56
CS_40,IR & GR,2019-07-17,1,3,7,1,3,100.88
CS_41,IR & GR,2019-07-28,8,4,5,12,7.25,96.46
CS_42,IR & GR,2019-07-13,6,8,2,1,4.25,99.58
CS_43,IR & GR,2019-07-26,17,10,11,3,10.25,93.34
CS_44,IR & GR,2019-07-23,2,2,4,10,4.5,99.32
CS_45,IR & GR,2019-07-19,4,3,4,7,4.5,99.32
CS_46,IR & GR,2019-07-25,18,10,3,5,9,94.64
CS_47,IR & GR,2019-07-14,92,5,6,,34.33333333,68.29333333
CS_48,IR & GR,2019-07-29,3,7,6,2,4.5,99.32
CS_49,IR & GR,2019-07-22,7,7,1,8,5.75,98.02
CS_50,IR & GR,2019-07-13,2,6,4,1,3.25,100.62
CS_51,IR & GR,2019-07-16,4,0,3,1,2,101.92
CS_52,IR & GR,2019-07-29,3,5,0,8,4,99.84
CS_53,IR & GR,2019-07-20,5,1,1,6,3.25,100.62
CS_54,IR & GR,2019-07-20,14,30,3,2,12.25,91.26
CS_55,YW & AM,2019-07-13,14,8,22,7,12.75,90.74
CS_56,IR & GR,2019-07-26,7,4,2,3,4,99.84
CS_57,IR & GR,2019-07-19,10,1,3,4,4.5,99.32
CS_58,IR & GR,2019-07-28,6,4,23,8,10.25,93.34
CS_59,IR & GR,2019-07-15,12,0,8,6,6.5,97.24
CS_60,YW & AM,2019-07-14,96,50,4,83,58.25,43.42
CS_61,IR & GR,2019-07-27,1,20,1,5,6.75,96.98
CS_62,IR & GR,2019-07-21,4,9,6,23,10.5,93.08
CS_63,IR & GR,2019-07-29,37,0,2,9,12,91.52
CS_64,YW & AM,2019-07-13,21,18,10,4,13.25,90.22
CS_65,IR & GR,2019-07-24,8,2,16,24,12.5,91
CS_66,IR & GR,2019-07-27,13,23,6,11,13.25,90.22
CS_67,IR & GR,2019-07-17,1,1,26,13,10.25,93.34
CS_68,IR & GR,2019-07-17,0,5,7,3,3.75,100.1
CS_69,IR & GR,2019-07-15,1,3,3,4,2.75,101.14
CS_70,IR & GR,2019-07-18,14,31,29,64,34.5,68.12
CS_71,IR & GR,2019-07-18,1,13,27,0,10.25,93.34
CS_72,YW & AM,2019-07-14,49,58,39,34,45,57.2
