Species_GroundCover,Plot,Observers,Date,Level,Intersections
Picea mariana,CS_01,YW & AM,2019-07-09,Canopy O,9
Larix laricina,CS_01,YW & AM,2019-07-09,Canopy O,1
Betula papyrifera,CS_01,YW & AM,2019-07-09,Canopy O,1
Picea mariana,CS_01,YW & AM,2019-07-09,Canopy U,11
Plants,CS_01,YW & AM,2019-07-09,Ground,9
Moss,CS_01,YW & AM,2019-07-09,Ground,12
Needle Duff,CS_01,YW & AM,2019-07-09,Ground,6
Picea mariana,CS_02,YW & AM,2019-07-10,Canopy U,4
Plants,CS_02,YW & AM,2019-07-10,Ground,2
Moss,CS_02,YW & AM,2019-07-10,Ground,11
Lichen,CS_02,YW & AM,2019-07-10,Ground,3
Leaf litter,CS_02,YW & AM,2019-07-10,Ground,1
Deciduous duff,CS_02,YW & AM,2019-07-10,Ground,12
Picea mariana,CS_03,YW & AM,2019-07-10,Canopy O,15
Picea mariana,CS_03,YW & AM,2019-07-10,Canopy U,9
Betula papyrifera,CS_03,YW & AM,2019-07-10,Canopy O,2
Plants,CS_03,YW & AM,2019-07-10,Ground,1
Moss,CS_03,YW & AM,2019-07-10,Ground,4
Leaf litter,CS_03,YW & AM,2019-07-10,Ground,2
Needle Duff,CS_03,YW & AM,2019-07-10,Ground,9
Deciduous duff,CS_03,YW & AM,2019-07-10,Ground,7
Picea mariana,CS_04,YW & AM,2019-07-11,Canopy O,6
Picea mariana,CS_04,YW & AM,2019-07-11,Canopy U,1
Alnus incana,CS_04,YW & AM,2019-07-11,Canopy U,3
Plants,CS_04,YW & AM,2019-07-11,Ground,8
Moss,CS_04,YW & AM,2019-07-11,Ground,4
Leaf litter,CS_04,YW & AM,2019-07-11,Ground,1
Mineral soil,CS_04,YW & AM,2019-07-11,Ground,1
Needle Duff,CS_04,YW & AM,2019-07-11,Ground,4
Deciduous duff,CS_04,YW & AM,2019-07-11,Ground,3
Picea mariana,CS_05,YW & AM,2019-07-11,Canopy O,7
Picea mariana,CS_05,YW & AM,2019-07-11,Canopy U,1
Betula papyrifera,CS_05,YW & AM,2019-07-11,Canopy O,1
Larix laricina,CS_05,YW & AM,2019-07-11,Canopy O,9
Plants,CS_05,YW & AM,2019-07-11,Ground,3
Moss,CS_05,YW & AM,2019-07-11,Ground,15
Needle Duff,CS_05,YW & AM,2019-07-11,Ground,2
Picea mariana,CS_06,IR & GR,2019-07-09,Canopy O,14
Picea mariana,CS_06,IR & GR,2019-07-09,Canopy U,1
Alnus incana,CS_06,IR & GR,2019-07-09,Canopy U,2
Larix laricina,CS_06,IR & GR,2019-07-09,Canopy O,1
Sky ,CS_06,IR & GR,2019-07-09,NA,3
Plants,CS_06,IR & GR,2019-07-09,Ground,7
Moss,CS_06,IR & GR,2019-07-09,Ground,7
Leaf litter,CS_06,IR & GR,2019-07-09,Ground,2
Decayed wood,CS_06,IR & GR,2019-07-09,Ground,2
Needle Duff,CS_06,IR & GR,2019-07-09,Ground,11
Deciduous duff,CS_06,IR & GR,2019-07-09,Ground,4
Picea mariana,CS_07,IR & GR,2019-07-10,Canopy O,10
Picea mariana,CS_07,IR & GR,2019-07-10,Canopy U,2
Betula papyrifera,CS_07,IR & GR,2019-07-10,Canopy O,2
Sky ,CS_07,IR & GR,2019-07-10,NA,6
Plants,CS_07,IR & GR,2019-07-10,Ground,9
Moss,CS_07,IR & GR,2019-07-10,Ground,3
Lichen,CS_07,IR & GR,2019-07-10,Ground,1
Leaf litter,CS_07,IR & GR,2019-07-10,Ground,1
Mineral soil,CS_07,IR & GR,2019-07-10,Ground,1
Needle Duff,CS_07,IR & GR,2019-07-10,Ground,4
Deciduous duff,CS_07,IR & GR,2019-07-10,Ground,1
Picea mariana,CS_08,IR & GR,2019-07-11,Canopy O,5
Picea mariana,CS_08,IR & GR,2019-07-11,Canopy U,3
Sky ,CS_08,IR & GR,2019-07-11,NA,12
Plants,CS_08,IR & GR,2019-07-11,Ground,10
Moss,CS_08,IR & GR,2019-07-11,Ground,6
Lichen,CS_08,IR & GR,2019-07-11,Ground,1
Decayed wood,CS_08,IR & GR,2019-07-11,Ground,1
Needle Duff,CS_08,IR & GR,2019-07-11,Ground,1
Deciduous duff,CS_08,IR & GR,2019-07-11,Ground,1
Picea mariana,CS_09,IR & GR,2019-07-11,Canopy U,1
Betula papyrifera,CS_09,IR & GR,2019-07-11,Canopy O,2
Sky ,CS_09,IR & GR,2019-07-11,NA,17
Plants,CS_09,IR & GR,2019-07-11,Ground,15
Moss,CS_09,IR & GR,2019-07-11,Ground,2
Decayed wood,CS_09,IR & GR,2019-07-11,Ground,1
Water,CS_09,IR & GR,2019-07-11,Ground,2
Picea mariana,CS_10,IR & GR,2019-07-10,Canopy O,1
Picea mariana,CS_10,IR & GR,2019-07-10,Canopy U,7
Sky ,CS_10,IR & GR,2019-07-10,NA,14
Plants,CS_10,IR & GR,2019-07-10,Ground,12
Moss,CS_10,IR & GR,2019-07-10,Ground,3
Decayed wood,CS_10,IR & GR,2019-07-10,Ground,1
Mineral soil,CS_10,IR & GR,2019-07-10,Ground,1
Needle Duff,CS_10,IR & GR,2019-07-10,Ground,1
Deciduous duff,CS_10,IR & GR,2019-07-10,Ground,1
Picea glauca,CS_11,YW & AM,2019-07-11,Canopy O,9
Picea mariana,CS_11,YW & AM,2019-07-11,Canopy U,2
Picea glauca,CS_11,YW & AM,2019-07-11,Canopy U,1
Larix laricina,CS_11,YW & AM,2019-07-11,Canopy O,1
Plants,CS_11,YW & AM,2019-07-11,Ground,5
Moss,CS_11,YW & AM,2019-07-11,Ground,10
Needle Duff,CS_11,YW & AM,2019-07-11,Ground,3
Deciduous duff,CS_11,YW & AM,2019-07-11,Ground,4
Picea glauca,CS_12,YW & AM,2019-07-12,Canopy O,8
Picea glauca,CS_12,YW & AM,2019-07-12,Canopy U,3
Plants,CS_12,YW & AM,2019-07-12,Ground,3
Moss,CS_12,YW & AM,2019-07-12,Ground,14
Lichen,CS_12,YW & AM,2019-07-12,Ground,2
Leaf litter,CS_12,YW & AM,2019-07-12,Ground,1
Needle Duff,CS_12,YW & AM,2019-07-12,Ground,2
Deciduous duff,CS_12,YW & AM,2019-07-12,Ground,2
Picea glauca,CS_13,YW & AM,2019-07-12,Canopy O,7
Picea glauca,CS_13,YW & AM,2019-07-12,Canopy U,4
Alnus incana,CS_13,YW & AM,2019-07-12,Canopy U,3
Plants,CS_13,YW & AM,2019-07-12,Ground,7
Moss,CS_13,YW & AM,2019-07-12,Ground,11
Needle Duff,CS_13,YW & AM,2019-07-12,Ground,3
Deciduous duff,CS_13,YW & AM,2019-07-12,Ground,5
Picea glauca,CS_14,YW & AM,2019-07-12,Canopy O,2
Picea glauca,CS_14,YW & AM,2019-07-12,Canopy U,5
Plants,CS_14,YW & AM,2019-07-12,Ground,3
Moss,CS_14,YW & AM,2019-07-12,Ground,14
Lichen,CS_14,YW & AM,2019-07-12,Ground,2
Decayed wood,CS_14,YW & AM,2019-07-12,Ground,1
Mineral soil,CS_14,YW & AM,2019-07-12,Ground,2
Needle Duff,CS_14,YW & AM,2019-07-12,Ground,2
Deciduous duff,CS_14,YW & AM,2019-07-12,Ground,3
Picea glauca,CS_15,IR & GR,2019-07-12,Canopy O,4
Picea glauca,CS_15,IR & GR,2019-07-12,Canopy O,9
Betula papyrifera,CS_15,IR & GR,2019-07-12,Canopy U,6
Alnus incana,CS_15,IR & GR,2019-07-12,Canopy U,1
Plants,CS_15,IR & GR,2019-07-12,Ground,6
Moss,CS_15,IR & GR,2019-07-12,Ground,7
Leaf litter,CS_15,IR & GR,2019-07-12,Ground,2
Needle Duff,CS_15,IR & GR,2019-07-12,Ground,4
Deciduous duff,CS_15,IR & GR,2019-07-12,Ground,10
Picea mariana,CS_16,IR & GR,2019-07-12,Canopy O,10
Picea mariana,CS_16,IR & GR,2019-07-12,Canopy U,3
Picea glauca,CS_16,IR & GR,2019-07-12,Canopy O,1
Larix laricina,CS_16,IR & GR,2019-07-12,Canopy O,2
Sky ,CS_16,IR & GR,2019-07-12,NA,4
Plants,CS_16,IR & GR,2019-07-12,Ground,5
Moss,CS_16,IR & GR,2019-07-12,Ground,10
Leaf litter,CS_16,IR & GR,2019-07-12,Ground,1
Decayed wood,CS_16,IR & GR,2019-07-12,Ground,1
Needle Duff,CS_16,IR & GR,2019-07-12,Ground,3
Picea glauca,CS_17,IR & GR,2019-07-12,Canopy O,1
Picea glauca,CS_17,IR & GR,2019-07-12,Canopy U,2
Picea mariana,CS_17,IR & GR,2019-07-12,Canopy O,4
Picea mariana,CS_17,IR & GR,2019-07-12,Canopy U,6
Alnus incana,CS_17,IR & GR,2019-07-12,Canopy U,1
Larix laricina,CS_17,IR & GR,2019-07-12,Canopy O,2
Sky ,CS_17,IR & GR,2019-07-12,NA,4
Plants,CS_17,IR & GR,2019-07-12,Ground,9
Moss,CS_17,IR & GR,2019-07-12,Ground,7
Leaf litter,CS_17,IR & GR,2019-07-12,Ground,2
Needle Duff,CS_17,IR & GR,2019-07-12,Ground,1
Picea mariana,CS_18,IR & GR,2019-07-19,Canopy O,7
Picea mariana,CS_18,IR & GR,2019-07-19,Canopy U,1
Sky ,CS_18,IR & GR,2019-07-19,Sky,12
Plants,CS_18,IR & GR,2019-07-19,Ground,10
Moss,CS_18,IR & GR,2019-07-19,Ground,6
Needle Duff,CS_18,IR & GR,2019-07-19,Ground,3
Deciduous duff,CS_18,IR & GR,2019-07-19,Ground,1
Picea mariana,CS_19,IR & GR,2019-07-17,Canopy O,8
Picea mariana,CS_19,IR & GR,2019-07-17,Canopy U,2
Picea glauca,CS_19,IR & GR,2019-07-17,Canopy O,5
Alnus incana,CS_19,IR & GR,2019-07-17,Canopy U,1
Sky ,CS_19,IR & GR,2019-07-17,NA,7
Plants,CS_19,IR & GR,2019-07-17,Ground,8
Moss,CS_19,IR & GR,2019-07-17,Ground,3
Lichen,CS_19,IR & GR,2019-07-17,Ground,1
Leaf litter,CS_19,IR & GR,2019-07-17,Ground,3
Mineral soil,CS_19,IR & GR,2019-07-17,Ground,1
Needle Duff,CS_19,IR & GR,2019-07-17,Ground,5
Deciduous duff,CS_19,IR & GR,2019-07-17,Ground,1
Picea mariana,CS_20,IR & GR,2019-07-24,Canopy O,8
Picea mariana,CS_20,IR & GR,2019-07-24,Canopy U,2
Picea glauca,CS_20,IR & GR,2019-07-24,Canopy O,3
Betula papyrifera,CS_20,IR & GR,2019-07-24,Canopy O,3
Larix laricina,CS_20,IR & GR,2019-07-24,Canopy O,2
Sky ,CS_20,IR & GR,2019-07-24,NA,5
Plants,CS_20,IR & GR,2019-07-24,Ground,8
Moss,CS_20,IR & GR,2019-07-24,Ground,3
Needle Duff,CS_20,IR & GR,2019-07-24,Ground,4
Deciduous duff,CS_20,IR & GR,2019-07-24,Ground,5
Picea mariana,CS_21,IR & GR,2019-07-22,Canopy O,7
Picea mariana,CS_21,IR & GR,2019-07-22,Canopy U,6
Sky ,CS_21,IR & GR,2019-07-22,NA,8
Plants,CS_21,IR & GR,2019-07-22,Ground,11
Moss,CS_21,IR & GR,2019-07-22,Ground,6
Decayed wood,CS_21,IR & GR,2019-07-22,Ground,1
Needle Duff,CS_21,IR & GR,2019-07-22,Ground,1
Deciduous duff,CS_21,IR & GR,2019-07-22,Ground,1
Picea mariana,CS_22,IR & GR,2019-07-15,Canopy O,4
Picea mariana,CS_22,IR & GR,2019-07-15,Canopy U,2
Picea glauca,CS_22,IR & GR,2019-07-15,Canopy O,2
Picea glauca,CS_22,IR & GR,2019-07-15,Canopy U,1
Larix laricina,CS_22,IR & GR,2019-07-15,Canopy O,1
Alnus incana,CS_22,IR & GR,2019-07-15,Canopy U,1
Sky ,CS_22,IR & GR,2019-07-15,NA,9
Plants,CS_22,IR & GR,2019-07-15,Ground,15
Moss,CS_22,IR & GR,2019-07-15,Ground,3
Decayed wood,CS_22,IR & GR,2019-07-15,Ground,1
Needle Duff,CS_22,IR & GR,2019-07-15,Ground,1
Picea mariana,CS_23,IR & GR,2019-07-26,Canopy O,10
Picea mariana,CS_23,IR & GR,2019-07-26,Canopy U,1
Picea glauca,CS_23,IR & GR,2019-07-26,Canopy U,2
Betula papyrifera,CS_23,IR & GR,2019-07-26,Canopy O,2
Larix laricina,CS_23,IR & GR,2019-07-26,Canopy O,1
Sky ,CS_23,IR & GR,2019-07-26,NA,5
Plants,CS_23,IR & GR,2019-07-26,Ground,7
Moss,CS_23,IR & GR,2019-07-26,Ground,3
Leaf litter,CS_23,IR & GR,2019-07-26,Ground,3
Decayed wood,CS_23,IR & GR,2019-07-26,Ground,1
Mineral soil,CS_23,IR & GR,2019-07-26,Ground,1
Needle Duff,CS_23,IR & GR,2019-07-26,Ground,5
Deciduous duff,CS_23,IR & GR,2019-07-26,Ground,1
Picea mariana,CS_24,IR & GR,2019-07-22,Canopy O,15
Picea mariana,CS_24,IR & GR,2019-07-22,Canopy U,5
Picea glauca,CS_24,IR & GR,2019-07-22,Canopy U,2
Sky ,CS_24,IR & GR,2019-07-22,NA,4
Plants,CS_24,IR & GR,2019-07-22,Ground,7
Moss,CS_24,IR & GR,2019-07-22,Ground,7
Lichen,CS_24,IR & GR,2019-07-22,Ground,2
Leaf litter,CS_24,IR & GR,2019-07-22,Ground,1
Mineral soil,CS_24,IR & GR,2019-07-22,Ground,1
Needle Duff,CS_24,IR & GR,2019-07-22,Ground,4
Picea glauca,CS_25,IR & GR,2019-07-16,Canopy O,4
Picea glauca,CS_25,IR & GR,2019-07-16,Canopy U,3
Picea mariana,CS_25,IR & GR,2019-07-16,Canopy O,9
Picea mariana,CS_25,IR & GR,2019-07-16,Canopy U,1
Sky ,CS_25,IR & GR,2019-07-16,NA,7
Plants,CS_25,IR & GR,2019-07-16,Ground,3
Moss,CS_25,IR & GR,2019-07-16,Ground,11
Lichen,CS_25,IR & GR,2019-07-16,Ground,2
Leaf litter,CS_25,IR & GR,2019-07-16,Ground,1
Mineral soil,CS_25,IR & GR,2019-07-16,Ground,1
Needle Duff,CS_25,IR & GR,2019-07-16,Ground,6
Picea mariana,CS_26,IR & GR,2019-07-25,Canopy O,10
Picea mariana,CS_26,IR & GR,2019-07-25,Canopy U,1
Picea glauca,CS_26,IR & GR,2019-07-25,Canopy O,7
Picea glauca,CS_26,IR & GR,2019-07-25,Canopy U,2
