Plot,Observers,Date,Distance,Direction,Layers,Height,
CS_01,YW & AM,2019-07-09,0,North,0,,
CS_01,YW & AM,2019-07-09,2,North,0,,
CS_01,YW & AM,2019-07-09,4,North,0,,
CS_01,YW & AM,2019-07-09,6,North,1,3.1,
CS_01,YW & AM,2019-07-09,8,North,0,,
CS_01,YW & AM,2019-07-09,10,North,0,,
CS_01,YW & AM,2019-07-09,0,South,0,,
CS_01,YW & AM,2019-07-09,2,South,0,,
CS_01,YW & AM,2019-07-09,4,South,0,,
CS_01,YW & AM,2019-07-09,6,South,0,,
CS_01,YW & AM,2019-07-09,8,South,0,,
CS_01,YW & AM,2019-07-09,10,South,0,,
CS_01,YW & AM,2019-07-09,0,West,0,,
CS_01,YW & AM,2019-07-09,2,West,0,,
CS_01,YW & AM,2019-07-09,4,West,0,,
CS_01,YW & AM,2019-07-09,6,West,0,,
CS_01,YW & AM,2019-07-09,8,West,0,,
CS_01,YW & AM,2019-07-09,10,West,0,,
CS_01,YW & AM,2019-07-09,0,East,0,,
CS_01,YW & AM,2019-07-09,2,East,0,,
CS_01,YW & AM,2019-07-09,4,East,0,,
CS_01,YW & AM,2019-07-09,6,East,0,,
CS_01,YW & AM,2019-07-09,8,East,0,,
CS_01,YW & AM,2019-07-09,10,East,0,,
CS_02,YW & AM,2019-07-10,0-10,NESW,0,,no logs
CS_03,YW & AM,2019-07-10,0,North,0,,
CS_03,YW & AM,2019-07-10,2,North,0,,
CS_03,YW & AM,2019-07-10,4,North,0,,
CS_03,YW & AM,2019-07-10,6,North,0,,
CS_03,YW & AM,2019-07-10,8,North,0,,
CS_03,YW & AM,2019-07-10,10,North,0,,
CS_03,YW & AM,2019-07-10,0,South,0,,
CS_03,YW & AM,2019-07-10,2,South,0,,
CS_03,YW & AM,2019-07-10,4,South,0,,
CS_03,YW & AM,2019-07-10,6,South,0,,
CS_03,YW & AM,2019-07-10,8,South,0,,
CS_03,YW & AM,2019-07-10,10,South,0,,
CS_03,YW & AM,2019-07-10,0,West,0,,
CS_03,YW & AM,2019-07-10,2,West,0,,
CS_03,YW & AM,2019-07-10,4,West,0,,
CS_03,YW & AM,2019-07-10,6,West,0,,
CS_03,YW & AM,2019-07-10,8,West,0,,
CS_03,YW & AM,2019-07-10,10,West,0,,
CS_03,YW & AM,2019-07-10,0,East,0,,
CS_03,YW & AM,2019-07-10,2,East,0,,
CS_03,YW & AM,2019-07-10,4,East,1,4.84,
CS_03,YW & AM,2019-07-10,6,East,0,,
CS_03,YW & AM,2019-07-10,8,East,0,,
CS_03,YW & AM,2019-07-10,10,East,0,,
CS_04,YW & AM,2019-07-11,0-10,NESW,0,,no logs
CS_05,YW & AM,2019-07-11,0-10,NESW,0,,no logs
CS_06,IR & GR,2019-07-09,0,North,0,,
CS_06,IR & GR,2019-07-09,2,North,0,,
CS_06,IR & GR,2019-07-09,4,North,0,,
CS_06,IR & GR,2019-07-09,6,North,0,,
CS_06,IR & GR,2019-07-09,8,North,1,3.1,
CS_06,IR & GR,2019-07-09,10,North,0,,
CS_06,IR & GR,2019-07-09,0,South,0,,
