Species,Plot,Observers,Date,Intersection,Height(cm),BasalDiam(cm),Distance (m)
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,E1,130,0.57,1
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,E2,140,1.1,1.3
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,E3,130,0.8,2
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,S1,45,0.62,7.4
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,S2,40,0.61,7.5
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,S3,40,0.25,8
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,S4,100,0.51,8.1
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,S5,105,0.65,8.3
Picea maria,CS_01,YW & AM,2019-07-09,N1,150,3.27,4.24
Picea maria,CS_01,YW & AM,2019-07-09,N2,140,2.7,5.1
Picea maria,CS_01,YW & AM,2019-07-09,S1,135,2.28,1.3
Picea maria,CS_01,YW & AM,2019-07-09,S2,135,2.88,1.4
Picea maria,CS_01,YW & AM,2019-07-09,W1,140,2.5,9.7
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,N1,62,0.6,0.3
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,N2,50,0.5,0.3
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,N3,78,0.78,0.2
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,N4,75,0.75,0.2
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,N5,65,0.65,0.4
Rhodendron cadense,CS_02,YW & AM,2019-07-10,N1,45,0.47,1.5
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,S1,50,0.4,0.18
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,S2,54,0.4,0.09
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,S3,75,0.52,0.1
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,S4,84,0.52,0.26
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,S5,54,0.21,0.09
Rhodendron cadense,CS_02,YW & AM,2019-07-10,S1,45,0.52,0.1
Rhodendron cadense,CS_02,YW & AM,2019-07-10,S2,43,0.21,0.09
Rhodendron cadense,CS_02,YW & AM,2019-07-10,S3,54,0.4,0.36
Rhodendron cadense,CS_02,YW & AM,2019-07-10,S4,42,0.4,0.67
Rhodendron cadense,CS_02,YW & AM,2019-07-10,S5,54,0.5,0.85
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,E1,53,0.5,0.8
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,E2,81,0.8,0.9
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,E3,59,0.5,1.14
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,E4,60,0.75,1.17
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,E5,52,0.4,1.33
Rhodendron cadense,CS_02,YW & AM,2019-07-10,E1,41,0.45,1.7
Rhodendron cadense,CS_02,YW & AM,2019-07-10,E2,48,0.25,1.85
Rhodendron cadense,CS_02,YW & AM,2019-07-10,E3,42,0.45,2.12
Rhodendron cadense,CS_02,YW & AM,2019-07-10,E4,40,0.35,2.4
Vaccinium angustifolium ,CS_02,YW & AM,2019-07-10,E1,40,0.38,1.14
Vaccinium angustifolium ,CS_02,YW & AM,2019-07-10,E2,48,0.2,3.4
Vaccinium angustifolium ,CS_02,YW & AM,2019-07-10,E3,60,0.2,5.76
Vaccinium angustifolium ,CS_02,YW & AM,2019-07-10,E4,51,0.35,5.8
Vaccinium angustifolium ,CS_02,YW & AM,2019-07-10,E5,40,0.25,6.1
Viburnum nudum,CS_02,YW & AM,2019-07-10,E1,55,0.25,6.7
Viburnum nudum,CS_02,YW & AM,2019-07-10,E2,61,0.61,6.8
Amelanchier Spp.,CS_02,YW & AM,2019-07-10,E1,58,0.65,3.1
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,W1,66,0.6,0.7
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,W2,65,0.5,0.95
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,W3,58,0.65,0.6
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,W4,71,0.6,1
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,W5,55,0.45,1.25
