Species,Plot,Observers,Date,North_Int,South_Int,East_Int,West_Int,Total_Int,
Kalmia angustifolia,CS_01,YW & AM,2019-07-09,0,6,0,2,8,
Picea maria,CS_01,YW & AM,2019-07-09,2,2,0,1,5,
Kalmia angustifolia,CS_02,YW & AM,2019-07-10,94,5,5,5,109,
Rhodendron cadense,CS_02,YW & AM,2019-07-10,1,5,4,3,13,
Vaccinium angustifolium,CS_02,YW & AM,2019-07-10,0,0,5,0,5,
Amelanchier Spp.,CS_02,YW & AM,2019-07-10,0,0,1,0,1,
Viburnum nudum,CS_02,YW & AM,2019-07-10,0,0,2,0,2,
Aralia nudicaulis,CS_03,YW & AM,2019-07-10,1,0,0,0,1,
Picea maria,CS_04,YW & AM,2019-07-11,3,0,0,2,5,
Kalmia angustifolia,CS_04,YW & AM,2019-07-11,5,5,5,5,20,
Sorbus america,CS_04,YW & AM,2019-07-11,1,1,3,0,5,
Amelanchier Spp.,CS_04,YW & AM,2019-07-11,4,0,3,0,7,
Alnus inca,CS_04,YW & AM,2019-07-11,5,5,1,5,16,
Viburnum nudum,CS_04,YW & AM,2019-07-11,0,1,0,1,2,
Rhodendron cadense,CS_04,YW & AM,2019-07-11,0,1,0,0,1,
Pteridium aquilinum,CS_04,YW & AM,2019-07-11,2,2,5,5,14,
Osmundastrum cinmomea,CS_04,YW & AM,2019-07-11,0,3,0,3,6,
Acer rubrum,CS_04,YW & AM,2019-07-11,0,1,0,0,1,
Kalmia angustifolia,CS_05,YW & AM,2019-07-11,0,2,0,0,2,
Sorbus america,CS_05,YW & AM,2019-07-11,0,2,0,0,2,
Picea maria,CS_05,YW & AM,2019-07-11,0,1,0,0,1,
Kalmia angustifolia,CS_06,IR & GR,2019-07-09,2,1,53,1,57,
Vaccinium angustifolium,CS_06,IR & GR,2019-07-09,0,0,16,0,16,
Betula papyrifera,CS_06,IR & GR,2019-07-09,0,0,2,0,2,
Sorbus america,CS_06,IR & GR,2019-07-09,0,0,2,0,2,
Picea maria,CS_06,IR & GR,2019-07-09,0,1,1,0,2,
Amelanchier Spp.,CS_06,IR & GR,2019-07-09,0,1,0,0,1,
Alnus inca,CS_06,IR & GR,2019-07-09,0,0,0,1,1,
Aralia nudicaulis,CS_06,IR & GR,2019-07-09,0,1,0,0,1,
Kalmia angustifolia,CS_07,IR & GR,2019-07-10,5,5,5,5,20,
Picea maria,CS_07,IR & GR,2019-07-10,3,0,2,0,5,
Vaccinium angustifolium,CS_07,IR & GR,2019-07-10,5,5,5,2,17,
UK 1,CS_07,IR & GR,2019-07-10,0,1,5,3,9,
Amelanchier Spp.,CS_07,IR & GR,2019-07-10,0,0,2,0,2,
Kalmia angustifolia,CS_08,IR & GR,2019-07-11,5,5,5,5,20,
Vaccinium angustifolium,CS_08,IR & GR,2019-07-11,0,5,1,4,10,
Picea maria,CS_08,IR & GR,2019-07-11,1,2,0,1,4,
Betula papyrifera,CS_08,IR & GR,2019-07-11,1,0,0,0,1,
Onoclea sensibilis,CS_09,IR & GR,2019-07-11,5,1,0,0,6,
Dryopteris cristata,CS_09,IR & GR,2019-07-11,2,2,0,4,8,
Osmundastrum cinmomea,CS_09,IR & GR,2019-07-11,0,1,1,5,7,
Kalmia angustifolia,CS_09,IR & GR,2019-07-11,0,2,0,5,7,
Rhodendron groenlandicum,CS_09,IR & GR,2019-07-11,0,0,0,5,5,
Picea maria,CS_09,IR & GR,2019-07-11,0,4,0,5,9,
Amelanchier Spp.,CS_09,IR & GR,2019-07-11,0,2,0,5,7,
Alnus inca,CS_09,IR & GR,2019-07-11,5,5,5,5,20,
