Plot,Date,Observers,ShrubCountTotal,CanopyIntOver,CanopyIntUnder,CanopyIntTotal,FallenLogsTotal,HorizComplex,CanClos,LeafLittDepth,AvgShrubHeight,AvgShrubDiam,StumpCount,DeadCount,AvgOverDist,AvgOverDBH,AvgUnderDist,AvgUnderDBH,AvgFallenDist
CS_01,2019-07-09,YW & AM,13,11,11,22,1,5,98.8,1.65,110,1.441538462,11,1,2.515,19.8875,2.9125,5.175,4.786666667
CS_02,2019-07-10,YW & AM,130,,,,0,5,98.8,0.225,55.41463415,0.463902439,7,1,4.35,9.25,4.19,5.25,2.725
CS_03,2019-07-10,YW & AM,1,17,9,26,1,1,102.96,0.375,90,1.36,9,2,2.24,9.5625,3.3325,2.7075,3.6975
CS_04,2019-07-11,YW & AM,77,6,4,10,0,5,98.8,2,80.81662338,0.770779221,6,0,3.425,8.8,1.64,4.933333333,4.58
CS_05,2019-07-11,YW & AM,5,17,1,18,0,3,100.88,3.45,68,0.986,8,2,3.045,19.1,4.5925,5.1,7.026666667
CS_06,2019-07-09,IR & GR,82,15,3,18,2,4,99.84,2.25,78.30434783,0.730434783,13,4,2.655,10.8125,4.275,2.5875,5.463333333
CS_07,2019-07-10,IR & GR,53,12,2,14,0,3.5,100.36,1.5,55.62037037,0.485185185,16,0,2.1525,7.325,2.2,3.9625,2.925
CS_08,2019-07-11,IR & GR,35,5,3,8,0,5,98.8,3.5,69.14285714,0.509714286,20,1,2.155,9.4,1.9025,3.8875,6.79
CS_09,2019-07-11,IR & GR,98,2,1,3,1,5,98.8,4.25,69.03030303,0.646060606,9,1,3.266666667,14.23333333,7.7,3.775,0.8325
CS_10,2019-07-10,IR & GR,68,1,7,8,0,5,98.8,10,72.05926471,0.780882353,45,1,7.8225,11.0625,0.7525,4.525,6.396666667
CS_11,2019-07-11,YW & AM,30,10,3,13,0,5,98.8,1.65,62.94866667,0.675,10,0,3.3,11.91,2.9875,4.3275,7.445
CS_12,2019-07-12,YW & AM,26,8,3,11,0,5,98.8,2.525,268,0.638461538,4,3,4.6375,10.1375,4.3625,4.9625,4.815
CS_13,2019-07-12,YW & AM,45,7,7,14,1,5,98.8,0.9,84.35555556,0.754444444,13,0,2.7225,9.5625,2.93,4.3,6.5
CS_14,2019-07-12,YW & AM,29,2,5,7,1,2.5,101.4,5.575,73.51724138,0.503448276,3,0,6.6475,9.0125,2.11,6,2.52
CS_15,2019-07-12,IR & GR,3,13,7,20,1,1,102.96,2.25,79.33333333,1.133333333,15,0,2.5025,15.525,2.7525,3.6125,4.57
CS_16,2019-07-12,IR & GR,135,13,3,16,1,5,98.8,10.5,58.25675676,0.448918919,63,0,2.72,9.8375,1.5275,3.5125,7.26
CS_17,2019-07-12,IR & GR,240,7,9,16,4,3.5,100.36,1.5,74.56410256,0.6,20,1,5.74,12.0525,8.05,3.0175,5.7475
CS_18,2019-07-19,IR & GR,441,7,1,8,1,5,98.8,1,55.71428571,0.271428571,41,0,1.3025,8.725,2.54,3.425,4.5275
CS_19,2019-07-17,IR & GR,395,13,3,16,0,4.5,99.32,1,64.21929825,0.426315789,8,1,3.43,10.425,3.74,3.25,6.116666667
CS_20,2019-07-24,IR & GR,339,16,2,18,0,5,98.8,1.75,66.05849057,0.349056604,12,1,1.9475,14.9,3.305,3.405,5
CS_21,2019-07-22,IR & GR,357,7,6,13,0,5,98.8,6.5,67.6,0.515,21,0,2.375,8.475,1.435,3.35,8.085
CS_22,2019-07-15,IR & GR,432,7,4,11,0,5,98.8,7.75,55.7173913,0.389130435,6,0,1.6625,6.625,1.3825,3.4,5.59
CS_23,2019-07-26,IR & GR,121,13,3,16,0,4,99.84,2.25,67.46153846,0.443589744,11,0,2.74,11.425,5.23,3.975,4.22
CS_24,2019-07-22,IR & GR,273,15,7,22,1,3.5,100.36,5.5,66.9,0.495555556,13,0,1.59,10.35,1.6225,3.8,2.425
CS_25,2019-07-16,IR & GR,12,13,4,17,0,5,98.8,4,52.04166667,0.641666667,22,2,3.145,10.025,2.8425,3.425,7.696666667
CS_26,2019-07-25,IR & GR,23,18,3,21,0,4,99.84,4.5,61.4,0.6,6,,1.165,12.925,3.375,3.075,
CS_27,2019-07-21,IR & GR,131,13,4,17,0,5,98.8,11,55.3877551,0.414285714,6,1,2.825,9.775,1.49,3.725,
CS_28,2019-07-28,IR & GR,537,2,6,8,0,5,98.8,6.25,69.45454545,0.515151515,11,0,4.756666667,10.2,3.0275,1.375,8.57
CS_29,2019-07-13,YW & AM,4,15,10,25,0,1,102.96,4.8125,60,0.9375,9,0,2.0075,12.4,2.2175,4.425,7.1
CS_30,2019-07-30,IR & GR,12,25,9,34,0,3,100.88,1.5,43.91666667,0.333333333,11,5,0.91625,11.35,4.3225,3.225,2.205
CS_31,2019-07-20,IR & GR,2,29,5,34,2,4,99.84,1.75,95.5,1,14,5,2.62,14.225,4.255,3.4,3.795
CS_32,2019-07-27,IR & GR,10,23,0,23,2,2.5,101.4,3.25,43.1,0.31,14,2,2.285,12.525,3.995,3.45,3.0575
CS_33,2019-07-16,IR & GR,4,18,4,22,0,5,98.8,3.25,44,0.325,5,1,1.025,13.45,2.625,3.375,7.465
CS_34,2019-07-13,IR & GR,12,11,8,19,2,1,102.96,0.75,46.5,0.35,14,3,0.9575,9.65,7.586666667,4.366666667,4.43
CS_35,2019-07-29,IR & GR,9,26,5,31,0,2.5,101.4,0.75,49.83333333,0.3,10,0,0.6475,12.15,4.945,3,3.65
CS_36,2019-07-14,IR & GR,2,17,1,18,4,2.5,101.4,4.25,58.5,0.7,19,2,1.6125,16.175,2.4675,2.465,3.93
CS_37,2019-07-25,IR & GR,186,1,2,3,0,5,98.8,3.5,70.9,0.878181818,10,10,6.286666667,11.66666667,3.7525,3.45,8.41
CS_38,2019-07-22,IR & GR,9,25,3,28,2,5,98.8,2,68.64285714,0.614285714,17,14,1.745,11.225,3.16,2.65,5.71
CS_39,2019-07-24,IR & GR,49,13,5,18,0,2,101.92,3,48.58333333,0.316666667,23,0,1.565,10.725,2.7075,2.625,4.125
CS_40,2019-07-17,IR & GR,36,12,8,20,2,2.5,101.4,2,51.02631579,0.363157895,14,2,1.3025,8,3.535,4.275,1.995
CS_41,2019-07-28,IR & GR,148,11,17,28,1,5,98.8,3.5,77.4537037,0.522222222,23,3,1.7925,9.55,0.92,2.1,5.4225
CS_42,2019-07-13,IR & GR,30,10,6,16,3,1,102.96,2.75,80.22727273,0.9,17,14,3.215,12.8,6.3,3.1625,2.4725
CS_43,2019-07-26,IR & GR,62,17,14,31,1,5,98.8,6,69.26666667,0.555,11,6,3.5875,16.4,1.3225,2.675,0.935
