.id,rank,model,ΔAICc,ΔRMSPE (μm),DOF[area],ΔRMSPE (cm),ΔRMSPE (m)
149.093,1,IID isotropic error,0,305269.1137389445,13.020076626328125,NA,NA
149.124,1,IID isotropic error,0,0,13.132803595965472,NA,NA
149.173,1,IID isotropic error,0,NA,14.139238743003563,0,NA
149.213,1,IID anisotropic error,0,NA,12.6723327634324,582.2588779196777,NA
149.233,1,IID isotropic error,0,1.1168057199029136,30.47466793314395,NA,NA
149.294,1,IID anisotropic error,0,NA,23.6296500380854,0,NA
149.394,1,OUf isotropic error,0,NA,13.543145264954385,NA,7.177055691749587
149.423,1,IID anisotropic error,0,315281.3347520436,27.528751554796003,NA,NA
149.452,1,IID anisotropic error,0,4584648.285191833,14.657964599615488,NA,NA
149.513,1,IID isotropic error,0,NA,11.812485180655585,NA,0
149.535,1,OU isotropic error,0,NA,20.853469881265237,NA,4.63036045270394
149.555,1,IID isotropic error,0,NA,9.328766571409611,0,NA
149.594,1,IID anisotropic error,0,2087318.6563418643,30.0742641194575,NA,NA
149.613,1,IID anisotropic error,0,2191860.4797015036,21.108714646593118,NA,NA
149.633,1,IID isotropic error,0,0.4712685210961354,13.218158926330643,NA,NA
149.673,1,IID isotropic error,0,NA,23.44366942902336,NA,1.306134833487576
150.032,1,IID anisotropic error,0,NA,15.154761613029411,0,NA
150.052,1,IID isotropic error,0,NA,16.536571912695308,0,NA
150.072,1,IID anisotropic error,0,NA,24.450886866863208,NA,2.1613443479350423
150.091,1,OU isotropic error,0,NA,27.5154881363298,75.71342681959266,NA
150.111,1,IID anisotropic error,0,3371902.4329028004,31.681126696034593,NA,NA
150.132,1,IID anisotropic error,0,NA,4.879928903446458,NA,113.00703829242075
150.154,1,IID isotropic error,0,NA,12.631315763632262,76.51826473782748,NA
150.173,1,IID isotropic error,0,0,7.9469903372360795,NA,NA
150.191,1,IID isotropic error,0,0.6243457164600841,31.169910225941067,NA,NA
150.232,1,IID anisotropic error,0,NA,24.00474379275747,1772.4223769101825,NA
150.273,1,OU isotropic error,0,NA,17.519172267415566,132.41029161415838,NA
150.314,1,OU isotropic error,0,NA,29.73336140611028,NA,3.0362115673641767
150.332,1,IID anisotropic error,0,NA,31.72543242657255,24.51696412895501,NA
150.373,1,IID isotropic error,0,NA,11.255859389602092,5.563915461765134,NA
150.392,1,IID anisotropic error,0,NA,14.685886337186265,710.716945530973,NA
