,BadPoint,Var_X,Var_Y,Cov_XY,AngleDiff,Date,Time,Frequency,coords.x1,coords.x2,datetime
1,0,24.056138,31.57200657,-15.11267518,0.572169674,2017-06-27,195417,149.394,-53.98672224,48.35546471,2017-06-27 19:54
2,0,44.98593421,83.20223196,-3.105624262,1.357593263,2017-06-28,73810,149.394,-53.98479416,48.35294738,2017-06-28 7:38
3,0,208.5093919,146.0110893,115.7251028,1.790711682,2017-07-16,174349,149.394,-53.98892691,48.35029536,2017-07-16 17:43
4,1,0,0,0,0,2017-07-19,100233,149.394,-53.98699385,48.34742232,2017-07-19 10:02
5,0,35.81761926,109.64573,18.96404324,2.373910911,2017-07-19,171203,149.394,-53.98545678,48.35073274,2017-07-19 17:12
6,1,0,0,0,0,2017-07-22,105949,149.394,-53.98890018,48.34949804,2017-07-22 10:59
7,0,710.4497059,457.2429546,202.2585165,6.027524522,2017-07-24,120656,149.394,-53.98689778,48.35020138,2017-07-24 12:06
8,0,3.91756798,11.95476374,4.309959055,1.376882509,2017-07-27,162231,149.394,-53.98734824,48.35194954,2017-07-27 16:22
9,0,7.494373667,10.39728233,5.96554788,0.400696691,2017-07-29,140917,149.394,-53.98865613,48.3500023,2017-07-29 14:09
10,0,1862.66706,5058.730271,1348.628494,10.10839801,2017-08-03,173122,149.394,-53.9851314,48.34905004,2017-08-03 17:31
11,0,722.7419061,650.7671939,523.0694026,3.036943579,2017-08-11,70100,149.394,-53.98536982,48.34832936,2017-08-11 7:01
12,1,0,0,0,0,2017-08-13,141221,149.394,-53.99129204,48.34544096,2017-08-13 14:12
13,0,2015.02936,682.3409839,-524.6326883,7.746951702,2017-08-15,93142,149.394,-53.98388469,48.34944251,2017-08-15 9:31
14,1,0,0,0,0,2017-08-16,93198,149.394,-53.98832004,48.34811917,2017-08-15 9:31
15,0,0.073951497,0.347893814,0.10397692,0.032174899,2017-08-18,164404,149.394,-53.98624489,48.34677972,2017-08-18 16:44
16,0,1411.897275,1172.079446,1121.876258,2.287916525,2017-08-19,140303,149.394,-53.98769568,48.34777771,2017-08-19 14:03
17,0,590.2424891,386.1233882,414.899966,1.323609276,2017-08-20,115129,149.394,-53.98821948,48.34799614,2017-08-20 11:51
18,0,98.12599784,227.0917401,37.03162517,1.968587695,2017-08-22,141848,149.394,-53.98517671,48.34875018,2017-08-22 14:18
19,0,235.9563682,631.5662496,170.7048589,1.828422891,2017-08-23,105247,149.394,-53.98924321,48.34728907,2017-08-23 10:52
20,0,75.37436371,225.1965271,61.51528249,1.003624439,2017-08-24,101453,149.394,-53.98969953,48.34705081,2017-08-24 10:14
21,0,92.2328693,343.4185217,104.0539848,1.551937378,2017-08-29,160928,149.394,-53.990195,48.34904586,2017-08-29 16:09
22,0,414.0629675,2643.848476,610.6097405,3.716314377,2017-08-30,113708,149.394,-53.99085478,48.34900172,2017-08-30 11:37
23,1,0,0,0,0,2017-08-31,146067,149.394,-53.98741045,48.34837204,2017-08-31 14:59
24,0,50.73203328,114.9349406,43.70153952,0.837523019,2017-09-01,105733,149.394,-53.98932375,48.34847863,2017-09-01 10:57
25,0,136.3485508,224.2151894,44.52974293,2.502280837,2017-07-16,111037,149.452,-53.98571579,48.34975422,2017-07-16 11:10
26,0,140.5871261,124.8586077,-27.76324106,4.48360367,2017-07-16,174707,149.452,-53.98590146,48.35099843,2017-07-16 17:47
