"","COV.x.y","cpid","pid.x","COV.x.x","COV.y.y","id.x","pid.y","id.y","indiv","obs_id","date","long","lat"
"1",-2921.04305937697,"149.394,1","1",5389.12003989332,6047.36002128631,"149.394","1","149.394","149.394","1",2017-06-27 19:06:25,-53.986998031197,48.3556332987182
"2",-297.228587596153,"149.394,2","2",2058.34141329284,3165.74858331173,"149.394","2","149.394","149.394","2",2017-06-28 07:00:56,-53.9845744030752,48.3529641122501
"3",3577.78961606845,"149.394,3","3",7242.48357806423,4183.1168990999,"149.394","3","149.394","149.394","3",2017-07-16 17:19:57,-53.989655682758,48.3501424491235
"4",-1210.26370983196,"149.394,4","4",1290.45061538936,2909.06826831376,"149.394","4","149.394","149.394","4",2017-07-19 09:08:39,-53.9848761068537,48.3499077645652
"5",530.340567100048,"149.394,5","5",757.769947660851,2274.29906903236,"149.394","5","149.394","149.394","5",2017-07-19 16:33:57,-53.9853753772164,48.3508014977181
"6",3946.38667264264,"149.394,6","6",6717.10820604759,5240.03728409329,"149.394","6","149.394","149.394","6",2017-07-22 10:26:31,-53.9886121798165,48.3505325177061
"7",712.882936770752,"149.394,7","7",1794.9866447383,1514.69906373548,"149.394","7","149.394","149.394","7",2017-07-24 11:56:21,-53.9870342616848,48.3502487443041
"8",880.954215727673,"149.394,8","8",703.380504944994,1701.34246115,"149.394","8","149.394","149.394","8",2017-07-27 16:01:26,-53.9873435717841,48.3520018453388
"9",3199.58713255794,"149.394,9","9",4645.83287119557,5437.61701521157,"149.394","9","149.394","149.394","9",2017-07-29 14:00:01,-53.9884091864181,48.3501577192502
"10",718.403898210912,"149.394,10","10",1120.74381597955,4944.98947871986,"149.394","10","149.394","149.394","10",2017-08-03 16:47:39,-53.9850408235642,48.3491747945148
"11",4362.30190947142,"149.394,11","11",6537.53454550506,5831.37732039362,"149.394","11","149.394","149.394","11",2017-08-11 06:23:58,-53.9854515364596,48.3484276983419
"12",-103.22191354595,"149.394,12","12",5001.83468996555,5884.08716524058,"149.394","12","149.394","149.394","12",2017-08-13 11:32:46,-53.9911349357543,48.3469612070216
"13",-781.14048993098,"149.394,13","13",2237.73819589831,1205.45534658172,"149.394","13","149.394","149.394","13",2017-08-15 08:56:17,-53.9840799110254,48.3495811456169
"14",963.504395130323,"149.394,14","14",3767.75798435629,5736.64183422849,"149.394","14","149.394","149.394","14",2017-08-16 08:42:11,-53.9890072814067,48.3469190794674
"15",2542.59227498117,"149.394,15","15",4058.65149756146,13007.1645465669,"149.394","15","149.394","149.394","15",2017-08-18 16:09:24,-53.9861118127175,48.346330474655
