,COV.x.y,cpid,pid.x,COV.x.x,COV.y.y,id.x,pid.y,id.y,indiv,obs_id,date,long,lat
1,-2921.043059,"149.394,1",1,5389.12004,6047.360021,149.394,1,149.394,149.394,1,2017-06-27 19:06,-53.98699803,48.3556333
2,-297.2285876,"149.394,2",2,2058.341413,3165.748583,149.394,2,149.394,149.394,2,2017-06-28 7:00,-53.9845744,48.35296411
3,3577.789616,"149.394,3",3,7242.483578,4183.116899,149.394,3,149.394,149.394,3,2017-07-16 17:19,-53.98965568,48.35014245
4,-1210.26371,"149.394,4",4,1290.450615,2909.068268,149.394,4,149.394,149.394,4,2017-07-19 9:08,-53.98487611,48.34990776
5,530.3405671,"149.394,5",5,757.7699477,2274.299069,149.394,5,149.394,149.394,5,2017-07-19 16:33,-53.98537538,48.3508015
6,3946.386673,"149.394,6",6,6717.108206,5240.037284,149.394,6,149.394,149.394,6,2017-07-22 10:26,-53.98861218,48.35053252
7,712.8829368,"149.394,7",7,1794.986645,1514.699064,149.394,7,149.394,149.394,7,2017-07-24 11:56,-53.98703426,48.35024874
8,880.9542157,"149.394,8",8,703.3805049,1701.342461,149.394,8,149.394,149.394,8,2017-07-27 16:01,-53.98734357,48.35200185
9,3199.587133,"149.394,9",9,4645.832871,5437.617015,149.394,9,149.394,149.394,9,2017-07-29 14:00,-53.98840919,48.35015772
10,718.4038982,"149.394,10",10,1120.743816,4944.989479,149.394,10,149.394,149.394,10,2017-08-03 16:47,-53.98504082,48.34917479
11,4362.301909,"149.394,11",11,6537.534546,5831.37732,149.394,11,149.394,149.394,11,2017-08-11 6:23,-53.98545154,48.3484277
12,-103.2219135,"149.394,12",12,5001.83469,5884.087165,149.394,12,149.394,149.394,12,2017-08-13 11:32,-53.99113494,48.34696121
13,-781.1404899,"149.394,13",13,2237.738196,1205.455347,149.394,13,149.394,149.394,13,2017-08-15 8:56,-53.98407991,48.34958115
14,963.5043951,"149.394,14",14,3767.757984,5736.641834,149.394,14,149.394,149.394,14,2017-08-16 8:42,-53.98900728,48.34691908
15,2542.592275,"149.394,15",15,4058.651498,13007.16455,149.394,15,149.394,149.394,15,2017-08-18 16:09,-53.98611181,48.34633047
16,5098.800794,"149.394,16",16,9197.19027,7302.412969,149.394,16,149.394,149.394,16,2017-08-19 13:32,-53.98754481,48.3478258
17,4689.224218,"149.394,17",17,9268.546852,6748.276327,149.394,17,149.394,149.394,17,2017-08-20 8:59,-53.98819344,48.34813979
18,1332.870416,"149.394,18",18,2451.855007,5645.027743,149.394,18,149.394,149.394,18,2017-08-22 13:22,-53.98536107,48.34889609
19,2037.894756,"149.394,19",19,4943.439263,8445.383558,149.394,19,149.394,149.394,19,2017-08-23 10:15,-53.98892043,48.34760766
20,2041.34592,"149.394,20",20,4978.173757,9242.458963,149.394,20,149.394,149.394,20,2017-08-24 9:19,-53.9901649,48.34682495
21,2918.046176,"149.394,21",21,3763.037191,8968.105246,149.394,21,149.394,149.394,21,2017-08-29 14:08,-53.98984652,48.34948252
22,3362.595227,"149.394,22",22,3124.825932,14735.5819,149.394,22,149.394,149.394,22,2017-08-30 10:10,-53.99097033,48.34893447
23,1162.561922,"149.394,23",23,3260.976256,7140.061543,149.394,23,149.394,149.394,23,2017-08-31 13:44,-53.98781835,48.34862767
24,2107.370565,"149.394,24",24,4561.08844,8085.839061,149.394,24,149.394,149.394,24,2017-09-01 9:07,-53.9891409,48.34879929
25,567.6873998,"149.452,1",1,1718.818312,2465.841903,149.452,1,149.452,149.452,1,2017-07-16 10:22,-53.98589762,48.34956997
26,-64.92999142,"149.452,2",2,598.0395596,390.6914347,149.452,2,149.452,149.452,2,2017-07-16 17:32,-53.9859415,48.35102773
27,327.6975445,"149.452,3",3,316.2497135,727.9897879,149.452,3,149.452,149.452,3,2017-07-19 9:17,-53.98426881,48.35118654
28,639.1843712,"149.452,4",4,1182.036478,853.5697329,149.452,4,149.452,149.452,4,2017-07-19 16:38,-53.98504788,48.35136012
29,70.87839064,"149.452,5",5,317.9798879,299.6860802,149.452,5,149.452,149.452,5,2017-07-22 10:34,-53.98438019,48.3511171
30,-180.3476745,"149.452,6",6,715.8688326,1098.397641,149.452,6,149.452,149.452,6,2017-07-24 9:44,-53.98295943,48.35200471
31,-118.9172993,"149.452,7",7,114.646889,614.6451717,149.452,7,149.452,149.452,7,2017-07-27 16:05,-53.98431227,48.35110875
32,33.98755536,"149.452,8",8,236.3552482,263.950936,149.452,8,149.452,149.452,8,2017-07-29 12:39,-53.98480888,48.35130568
33,26.69012403,"149.452,9",9,491.4644036,418.6620362,149.452,9,149.452,149.452,9,2017-08-03 16:54,-53.98630812,48.35124053
34,-78.88161538,"149.452,10",10,1100.674222,1507.241168,149.452,10,149.452,149.452,10,2017-08-05 9:59,-53.98453718,48.35104478
35,236.9944213,"149.452,11",11,717.2919942,2185.302927,149.452,11,149.452,149.452,11,2017-08-08 14:13,-53.98568459,48.35199398
36,-239.7341578,"149.452,12",12,566.9079977,3756.484754,149.452,12,149.452,149.452,12,2017-08-10 18:26,-53.98278383,48.35179843
37,232.292822,"149.452,13",13,985.7646384,1805.33223,149.452,13,149.452,149.452,13,2017-08-11 6:29,-53.98560974,48.3501474
38,201.0307267,"149.452,14",14,312.7770364,385.2155906,149.452,14,149.452,149.452,14,2017-08-11 18:07,-53.98441707,48.35150566
39,-52.52871196,"149.452,15",15,334.852177,387.7905829,149.452,15,149.452,149.452,15,2017-08-12 6:32,-53.98547074,48.35226814
40,-95.7922454,"149.452,16",16,830.1332483,1515.813445,149.452,16,149.452,149.452,16,2017-08-12 18:00,-53.98360969,48.35216176
41,302.0733668,"149.452,17",17,1823.024202,2776.385934,149.452,17,149.452,149.452,17,2017-08-13 11:33,-53.986184,48.34966793
42,-0.916569619,"149.452,18",18,643.0622402,794.3944734,149.452,18,149.452,149.452,18,2017-08-15 8:51,-53.98354553,48.35220281
43,-606.5311752,"149.452,19",19,1367.163466,1866.678635,149.452,19,149.452,149.452,19,2017-08-16 8:56,-53.98436958,48.35207645
44,88.63080829,"149.452,20",20,145.9697981,242.963582,149.452,20,149.452,149.452,20,2017-08-17 10:01,-53.98442308,48.35149041
45,509.1415503,"149.452,21",21,1122.440921,1175.369099,149.452,21,149.452,149.452,21,2017-08-18 15:51,-53.98544056,48.35082842
46,113.5939012,"149.452,22",22,129.3835287,236.5615794,149.452,22,149.452,149.452,22,2017-08-19 13:38,-53.98422589,48.35154719
47,103.3741403,"149.452,23",23,1172.80842,731.2974176,149.452,23,149.452,149.452,23,2017-08-20 9:03,-53.98383565,48.35188051
48,126.0140222,"149.452,24",24,124.3805665,506.8036892,149.452,24,149.452,149.452,24,2017-08-21 9:33,-53.98415256,48.35144239
49,434.5517961,"149.452,25",25,547.874794,1163.953676,149.452,25,149.452,149.452,25,2017-08-22 13:42,-53.98441758,48.35114655
50,168.3034764,"149.452,26",26,568.1840053,216.9912488,149.452,26,149.452,149.452,26,2017-08-23 10:28,-53.98452046,48.35169082
