model,effect,group,term,estimate,std.error,statistic,df,p.value
1,fixed,NA,(Intercept),-2.3891302124982863,0.1320008675304792,-18.099352354230795,51.80397880641047,4.733906872819997e-24
1,fixed,NA,overPCA_s,-0.05858531755105814,0.11449320698486339,-0.5116925195291581,54.09918699458207,0.6109486403927795
1,fixed,NA,underPCA_s,0.10096135532352178,0.13760558407269646,0.7337010049692774,52.27115711240628,0.4664092142878471
1,fixed,NA,VAAN_CN_s,0.14214070523356334,0.14118617451819387,1.0067607945227417,50.229172964715495,0.3188752080098147
1,fixed,NA,VAAN_CP_s,-0.030452255361976124,0.11827806150441407,-0.25746326051209134,59.660026229609755,0.7977071388728356
1,fixed,NA,overPCA_s:underPCA_s,-0.16988743275510104,0.12871676260855786,-1.3198547672593959,51.54822104157226,0.1927150958611162
1,fixed,NA,VAAN_CN_s:VAAN_CP_s,-0.09307775442533575,0.1045343557186124,-0.8904034830030833,92.6119581626769,0.3755565394217195
1,fixed,NA,overPCA_s:VAAN_CN_s,0.20012890315205314,0.15609738504933612,1.2820772307543808,68.54736650353597,0.20413476609468684
1,fixed,NA,overPCA_s:VAAN_CP_s,0.016644671724484937,0.13562729879235902,0.12272361001576378,52.641115376818796,0.9027933119320273
1,fixed,NA,underPCA_s:VAAN_CN_s,0.20890532930311798,0.16959167553426885,1.2318135819166733,68.32686908834228,0.2222412835604423
1,fixed,NA,underPCA_s:VAAN_CP_s,0.15283913468909635,0.14699630888402657,1.039748112380696,52.88304983753647,0.3031874994733227
1,ran_pars,Plot,sd__(Intercept),0.4770934833330132,NA,NA,NA,NA
1,ran_pars,CollarID,sd__(Intercept),0.2917067385944467,NA,NA,NA,NA
1,ran_pars,CollarID,cor__(Intercept).underPCA_s,-1,NA,NA,NA,NA
1,ran_pars,CollarID,sd__underPCA_s,0.17026440564083242,NA,NA,NA,NA
1,ran_pars,CollarID.1,sd__(Intercept),0.058226698744768504,NA,NA,NA,NA
1,ran_pars,CollarID.1,cor__(Intercept).VAAN_CN_s,-0.9999988585288323,NA,NA,NA,NA
1,ran_pars,CollarID.1,sd__VAAN_CN_s,0.4470131135029047,NA,NA,NA,NA
1,ran_pars,Residual,sd__Observation,1.813685305706124,NA,NA,NA,NA
2,fixed,NA,(Intercept),-2.367392536880239,0.1181624171095692,-20.035072020277074,44.1686411112064,8.515731466120113e-24
2,fixed,NA,overPCA_s,-0.09548577794984853,0.094417366323908,-1.011315838044828,54.099811711064376,0.3163671643270852
2,fixed,NA,underPCA_s,0.10579104644098261,0.11125355506803124,0.9509003678695183,46.92201279163195,0.34652752177906077
2,fixed,NA,overPCA_s:underPCA_s,-0.08541332058795435,0.11849431506128151,-0.7208220963493589,50.339547057712615,0.47435329133636395
2,ran_pars,Plot,sd__(Intercept),0.47199178458503505,NA,NA,NA,NA
2,ran_pars,CollarID,sd__(Intercept),0.3132963283979521,NA,NA,NA,NA
2,ran_pars,CollarID,cor__(Intercept).underPCA_s,-1,NA,NA,NA,NA
2,ran_pars,CollarID,sd__underPCA_s,0.18005043472716364,NA,NA,NA,NA
2,ran_pars,Residual,sd__Observation,1.8477710809109082,NA,NA,NA,NA
3,fixed,NA,(Intercept),-2.34755199037095,0.1009826252729044,-23.247088140427298,36.76399753708373,1.4022732995107457e-23
3,fixed,NA,VAAN_CN_s,0.22850844000600376,0.13278655449722945,1.7208703160587808,44.18406518036093,0.0922710426911535
3,fixed,NA,VAAN_CP_s,-0.04758592861267753,0.0917989398744287,-0.5183712216913406,60.13290559072535,0.606101544032793
3,fixed,NA,VAAN_CN_s:VAAN_CP_s,-0.05903215335628186,0.08611481919581468,-0.6855051651684931,101.37881515829318,0.49458975715838605
3,ran_pars,Plot,sd__(Intercept),0.47569727744601614,NA,NA,NA,NA
3,ran_pars,CollarID,sd__(Intercept),0.26379611584389306,NA,NA,NA,NA
3,ran_pars,CollarID,cor__(Intercept).VAAN_CN_s,-0.4428881950305383,NA,NA,NA,NA
3,ran_pars,CollarID,sd__VAAN_CN_s,0.44419492710203334,NA,NA,NA,NA
3,ran_pars,Residual,sd__Observation,1.8217390997828007,NA,NA,NA,NA
4,fixed,NA,(Intercept),-2.3266222076712944,0.10110569390676805,-23.01178220305503,35.80438934371567,4.8058400204344843e-23
4,ran_pars,Plot,sd__(Intercept),0.47137830580016615,NA,NA,NA,NA
4,ran_pars,CollarID,sd__(Intercept),0.2772545560402356,NA,NA,NA,NA
4,ran_pars,Residual,sd__Observation,1.8574346232794023,NA,NA,NA,NA
