model,effect,group,term,estimate,std.error,statistic,df,p.value
1,fixed,NA,(Intercept),-2.3270562102175583,0.10024346046966226,-23.214045078998645,65.54911675928241,2.4870096745795125e-33
1,fixed,NA,overPCA_s,-0.09913242328515931,0.08385165394812066,-1.182235753471159,913.9179061256727,0.23741966471398265
1,fixed,NA,underPCA_s,0.0881979913169399,0.09965449231857039,0.8850377867060228,916.8698881672925,0.3763682895275804
1,fixed,NA,VAAN_CN_s,0.055921197081308466,0.08523776533830371,0.65606127588353,920.4880110395978,0.5119486520711998
1,fixed,NA,VAAN_CP_s,-0.06198653489368779,0.08836423416862127,-0.7014889618734411,915.232611633997,0.483176248207395
1,fixed,NA,overPCA_s:underPCA_s,-0.126512011369854,0.09222704713481712,-1.3717452233390846,920.4653384887682,0.17047701562843212
1,fixed,NA,VAAN_CN_s:VAAN_CP_s,-0.04539253260203671,0.08347173432557631,-0.5438072297022841,925.0468243803658,0.586705166844111
1,fixed,NA,overPCA_s:VAAN_CN_s,0.16287212381977423,0.11813864054338624,1.37865242964227,920.5374973884255,0.16833686917334553
1,fixed,NA,overPCA_s:VAAN_CP_s,0.07083665267641266,0.09833361597229894,0.720370668524665,915.3629246623015,0.4714807141690066
1,fixed,NA,underPCA_s:VAAN_CN_s,0.22301672073748358,0.13054044624835956,1.7084108959853208,905.6692928763662,0.08790277381101795
1,fixed,NA,underPCA_s:VAAN_CP_s,0.17039476693855024,0.10829021837445556,1.573501000333604,923.6732973318522,0.11594530009415266
1,ran_pars,CollarID,sd__(Intercept),0.23764754633667337,NA,NA,NA,NA
1,ran_pars,Residual,sd__Observation,1.9136378343181564,NA,NA,NA,NA
2,fixed,NA,(Intercept),-2.3374297230856786,0.08824859947901248,-26.486876130442983,43.32231387967077,2.157219169600898e-28
2,fixed,NA,overPCA_s,-0.10094733899041644,0.0676526632692921,-1.4921413897424045,935.7848478391259,0.1359991177592589
2,fixed,NA,underPCA_s,0.09020422698388335,0.07856288701620115,1.1481786172812303,928.5208576115963,0.2511905518769876
2,fixed,NA,overPCA_s:underPCA_s,-0.06894950972990445,0.08408336190164528,-0.8200137122318761,921.422090156106,0.4124203570354369
2,ran_pars,CollarID,sd__(Intercept),0.24226734128014557,NA,NA,NA,NA
2,ran_pars,Residual,sd__Observation,1.9124752503330416,NA,NA,NA,NA
3,fixed,NA,(Intercept),-2.3075498715807616,0.0780677306403649,-29.5583060075227,26.376610121203615,9.4359390905894e-22
3,fixed,NA,VAAN_CN_s,0.15509321997302933,0.07613602303444485,2.0370543901782643,908.1410129912316,0.04193412610027235
3,fixed,NA,VAAN_CP_s,-0.06307199295305338,0.06695082641509219,-0.9420644423716265,918.6020908886867,0.34640732645174355
3,fixed,NA,VAAN_CN_s:VAAN_CP_s,-0.02709308554036725,0.06774628794803904,-0.399919853337905,933.0842150517615,0.6893070803802026
3,ran_pars,CollarID,sd__(Intercept),0.24032649507135123,NA,NA,NA,NA
3,ran_pars,Residual,sd__Observation,1.9200064016925409,NA,NA,NA,NA
4,fixed,NA,(Intercept),-2.3003990548546978,0.07822270766730806,-29.40832813712626,27.01562113838437,4.72309818826008e-22
4,ran_pars,CollarID,sd__(Intercept),0.24436578495630948,NA,NA,NA,NA
4,ran_pars,Residual,sd__Observation,1.9173348643112842,NA,NA,NA,NA
