Plot,meanhc
CS_01,5
CS_02,5
CS_03,1
CS_04,5
CS_05,3
CS_06,4
CS_07,3.5
CS_08,5
CS_09,5
CS_10,5
CS_11,5
CS_12,5
CS_13,5
CS_14,2.5
CS_15,1
CS_16,5
CS_17,3.5
CS_18,5
CS_19,4.5
CS_20,5
CS_21,5
CS_22,5
CS_23,4
CS_24,3.5
CS_25,5
CS_26,4
CS_27,5
CS_28,5
CS_29,1
CS_30,3
CS_31,4
CS_32,2.5
CS_33,5
CS_34,1
CS_35,2.5
CS_36,2.5
CS_37,5
CS_38,5
CS_39,2
CS_40,2.5
CS_41,5
CS_42,1
CS_43,5
CS_44,2.5
CS_45,3.5
CS_46,1
CS_47,5
CS_48,5
CS_49,5
CS_50,5
CS_51,3
CS_52,1
CS_53,4.5
CS_54,5
CS_55,1
CS_56,2.5
CS_57,3.5
CS_58,5
CS_59,5
CS_60,3
CS_61,3.5
CS_62,5
CS_63,5
CS_64,1.5
CS_65,5
CS_66,5
CS_67,3
CS_68,1.5
CS_69,5
CS_70,5
CS_71,1
CS_72,5
