Plot,Observer,Date,Direction,Height,Distance,Score
CS_01,Yolanda,2019-07-09,14,0.5,5,1
CS_01,Yolanda,2019-07-09,14,1,5,3
CS_01,Yolanda,2019-07-09,14,1.5,5,2
CS_01,Yolanda,2019-07-09,14,2,5,2
CS_01,Yolanda,2019-07-09,14,2.5,5,1
CS_01,Yolanda,2019-07-09,14,0.5,10,5
CS_01,Yolanda,2019-07-09,14,1,10,5
CS_01,Yolanda,2019-07-09,14,1.5,10,5
CS_01,Yolanda,2019-07-09,14,2,10,5
CS_01,Yolanda,2019-07-09,14,2.5,10,5
CS_01,Yolanda,2019-07-09,14,0.5,15,5
CS_01,Yolanda,2019-07-09,14,1,15,5
CS_01,Yolanda,2019-07-09,14,1.5,15,5
CS_01,Yolanda,2019-07-09,14,2,15,5
CS_01,Yolanda,2019-07-09,14,2.5,15,5
CS_01,Yolanda,2019-07-09,14,0.5,20,5
CS_01,Yolanda,2019-07-09,14,1,20,5
CS_01,Yolanda,2019-07-09,14,1.5,20,5
CS_01,Yolanda,2019-07-09,14,2,20,5
CS_01,Yolanda,2019-07-09,14,2.5,20,5
CS_01,Yolanda,2019-07-09,14,0.5,25,5
CS_01,Yolanda,2019-07-09,14,1,25,5
CS_01,Yolanda,2019-07-09,14,1.5,25,5
CS_01,Yolanda,2019-07-09,14,2,25,5
CS_01,Yolanda,2019-07-09,14,2.5,25,5
CS_01,Yolanda,2019-07-09,14,0.5,30,5
CS_01,Yolanda,2019-07-09,14,1,30,5
CS_01,Yolanda,2019-07-09,14,1.5,30,5
CS_01,Yolanda,2019-07-09,14,2,30,5
CS_01,Yolanda,2019-07-09,14,2.5,30,5
CS_02,Yolanda,2019-07-10,30,0.5,5,1
CS_02,Yolanda,2019-07-10,30,1,5,1
CS_02,Yolanda,2019-07-10,30,1.5,5,1
CS_02,Yolanda,2019-07-10,30,2,5,1
CS_02,Yolanda,2019-07-10,30,2.5,5,1
CS_02,Yolanda,2019-07-10,30,0.5,10,5
CS_02,Yolanda,2019-07-10,30,1,10,5
CS_02,Yolanda,2019-07-10,30,1.5,10,5
CS_02,Yolanda,2019-07-10,30,2,10,5
CS_02,Yolanda,2019-07-10,30,2.5,10,1
CS_02,Yolanda,2019-07-10,30,0.5,15,5
