FID,Join_Count,TARGET_FID,Plot_Number,Alpha_D,X_dd,Y_dd,UTMZone,id,area
0,6,1,CS_01,5,279283.3395,5359859.154,22,150.314,12.45116637
1,3,2,CS_02,5,279234.6638,5359560.863,22,150.273,9.028328687
2,5,3,CS_03,8,279272.9747,5359781.857,22,150.314,12.45116637
3,3,4,CS_04,15,279224.2825,5359483.142,22,150.273,9.028328687
4,6,5,CS_05,8,279301.3485,5359936.578,22,150.173,30.83456761
5,5,6,CS_06,11,279255.2472,5359704.422,22,150.314,12.45116637
6,6,7,CS_07,7,279245.0285,5359638.16,22,150.314,12.45116637
7,9,8,CS_08,3,279187.429,5359874.348,22,150.332,28.76569115
8,9,9,CS_09,27,279177.0472,5359796.628,22,150.332,28.76569115
9,8,10,CS_10,4,279146.3618,5359575.338,22,150.273,9.028328687
10,8,11,CS_11,7,279166.6817,5359719.332,22,150.314,12.45116637
11,7,12,CS_12,5,279205.4236,5359951.348,22,150.332,28.76569115
12,4,13,CS_13,10,279128.35,5359497.914,22,150.173,30.83456761
13,9,14,CS_14,4,279156.2995,5359641.612,22,150.314,12.45116637
14,10,15,CS_15,12,279076.3672,5359689.304,22,150.332,28.76569115
15,9,16,CS_16,5,279104.7466,5359844.024,22,150.332,28.76569115
16,10,17,CS_17,10,279087.0334,5359767.013,22,150.332,28.76569115
17,5,18,CS_18,3,279140.0424,5359987.435,22,150.332,28.76569115
18,13,19,CS_19,7,279059.0824,5359623.316,22,150.373,6.639976343
19,11,20,CS_20,7,279041.351,5359545.883,22,150.373,6.639976343
20,8,21,CS_21,5,279122.476,5359921.459,22,150.332,28.76569115
21,12,22,CS_22,8,278970.9287,5359648.828,22,150.392,31.65782445
22,5,23,CS_23,7,279035.0389,5359957.98,22,150.332,28.76569115
23,9,24,CS_24,6,278953.6419,5359582.841,22,150.392,31.65782445
24,8,25,CS_25,10,279017.042,5359880.981,22,150.332,28.76569115
25,12,26,CS_26,7,278981.5957,5359726.537,22,150.392,31.65782445
26,7,27,CS_27,7,278935.9097,5359505.406,22,150.373,6.639976343
27,11,28,CS_28,15,278999.3111,5359803.547,22,150.392,31.65782445
28,8,29,CS_29,5,278872.8552,5359797.434,22,150.392,31.65782445
29,7,30,CS_30,9,278845.1818,5359653.727,22,150.392,31.65782445
30,6,31,CS_31,10,278827.1817,5359576.728,22,150.232,27.29169712
31,8,32,CS_32,7,278855.5682,5359731.446,22,150.392,31.65782445
32,3,33,CS_33,5,278901.24,5359952.152,22,150.392,31.65782445
33,2,34,CS_34,5,278918.9562,5360029.162,22,150.332,28.76569115
34,6,35,CS_35,6,278890.8542,5359874.433,22,150.392,31.65782445
35,3,36,CS_36,7,278813.0921,5359977.667,22,150.392,31.65782445
36,6,37,CS_37,21,278749.6982,5359679.951,22,150.392,31.65782445
37,4,38,CS_38,6,278777.6404,5359823.223,22,150.392,31.65782445
38,5,39,CS_39,6,278759.6405,5359746.224,22,150.392,31.65782445
39,5,40,CS_40,7,278795.3751,5359900.657,22,150.392,31.65782445
40,3,41,CS_41,21,278713.9616,5359525.519,22,150.191,18.1434134
41,5,42,CS_42,6,278731.9633,5359602.518,22,150.232,27.29169712
42,3,43,CS_43,12,278668.4743,5359883.101,22,150.392,31.65782445
43,3,44,CS_44,8,278619.7669,5359584.815,22,150.232,27.29169712
44,3,45,CS_45,12,278640.3659,5359728.372,22,150.392,31.65782445
45,2,46,CS_46,6,278658.1018,5359805.806,22,150.392,31.65782445
46,1,47,CS_47,15,278679.1461,5359960.81,22,150.392,31.65782445
47,4,48,CS_48,10,278630.4229,5359662.1,22,150.392,31.65782445
48,5,49,CS_49,2,278904.5203,5359462.472,22,150.373,6.639976343
49,5,50,CS_50,8,278985.4601,5359447.856,22,150.373,6.639976343
50,2,51,CS_51,14,278608.9471,5359496.072,22,150.052,17.35518616
51,3,52,CS_52,11,278682.9845,5359493.185,22,150.191,18.1434134
52,3,53,CS_53,9,278756.5923,5359479.276,22,150.191,18.1434134
53,5,54,CS_54,9,278830.4826,5359465.357,22,150.232,27.29169712
54,4,55,CS_55,8,279052.1509,5359445.259,22,150.191,18.1434134
55,3,56,CS_56,8,279111.0648,5359431.927,22,150.191,18.1434134
56,4,57,CS_57,2,279162.7784,5359429.914,22,150.273,9.028328687
57,2,58,CS_58,3,279207.145,5359428.188,22,150.273,9.028328687
58,2,59,CS_59,17,278692.5604,5360116.112,22,150.392,31.65782445
59,4,60,CS_60,8,279201.9701,5360051.686,22,150.332,28.76569115
60,6,61,CS_61,4,279142.6329,5360053.995,22,150.332,28.76569115
61,4,62,CS_62,15,279076.3792,5360067.613,22,150.332,28.76569115
62,3,63,CS_63,18,278995.0024,5360070.782,22,150.332,28.76569115
63,3,64,CS_64,8,278847.1068,5360088.008,22,150.332,28.76569115
64,2,65,CS_65,11,278921.1364,5360085.123,22,150.332,28.76569115
65,4,66,CS_66,5,279253.2493,5360038.652,22,150.332,28.76569115
66,2,67,CS_67,7,278773.507,5360101.916,22,150.392,31.65782445
67,3,68,CS_68,11,279305.2396,5360036.629,22,150.111,27.21371606
68,5,69,CS_69,5,279295.8798,5359992.412,22,150.111,27.21371606
69,2,70,CS_70,8,278690.8243,5360071.597,22,150.392,31.65782445
70,1,71,CS_71,15,278681.3121,5360016.347,22,150.392,31.65782445
71,2,72,CS_72,5,278749.7318,5360058.261,22,150.392,31.65782445
