OBJECTID,Join_Count_SH,TARGET_FID,Plot_Number,SH_Alpha_D,X_dd,Y_dd,UTMZone,id,area
1,6,1,CS_01,2,279283.3395,5359859.154,22,150.314,12.45116637
2,3,2,CS_02,2,279234.6638,5359560.863,22,150.273,9.028328687
3,5,3,CS_03,3,279272.9747,5359781.857,22,150.314,12.45116637
4,3,4,CS_04,8,279224.2825,5359483.142,22,150.273,9.028328687
5,6,5,CS_05,4,279301.3485,5359936.578,22,150.173,30.83456761
6,5,6,CS_06,5,279255.2472,5359704.422,22,150.314,12.45116637
7,6,7,CS_07,3,279245.0285,5359638.16,22,150.314,12.45116637
8,9,8,CS_08,1,279187.429,5359874.348,22,150.332,28.76569115
9,9,9,CS_09,14,279177.0472,5359796.628,22,150.332,28.76569115
10,8,10,CS_10,2,279146.3618,5359575.338,22,150.273,9.028328687
11,8,11,CS_11,2,279166.6817,5359719.332,22,150.314,12.45116637
12,7,12,CS_12,2,279205.4236,5359951.348,22,150.332,28.76569115
13,4,13,CS_13,4,279128.35,5359497.914,22,150.173,30.83456761
14,9,14,CS_14,3,279156.2995,5359641.612,22,150.314,12.45116637
15,10,15,CS_15,7,279076.3672,5359689.304,22,150.332,28.76569115
16,9,16,CS_16,3,279104.7466,5359844.024,22,150.332,28.76569115
17,10,17,CS_17,3,279087.0334,5359767.013,22,150.332,28.76569115
18,5,18,CS_18,2,279140.0424,5359987.435,22,150.332,28.76569115
19,13,19,CS_19,3,279059.0824,5359623.316,22,150.373,6.639976343
20,11,20,CS_20,2,279041.351,5359545.883,22,150.373,6.639976343
21,8,21,CS_21,2,279122.476,5359921.459,22,150.332,28.76569115
22,12,22,CS_22,3,278970.9287,5359648.828,22,150.392,31.65782445
23,5,23,CS_23,2,279035.0389,5359957.98,22,150.332,28.76569115
24,9,24,CS_24,2,278953.6419,5359582.841,22,150.392,31.65782445
25,8,25,CS_25,5,279017.042,5359880.981,22,150.332,28.76569115
26,12,26,CS_26,3,278981.5957,5359726.537,22,150.392,31.65782445
27,7,27,CS_27,3,278935.9097,5359505.406,22,150.373,6.639976343
28,11,28,CS_28,7,278999.3111,5359803.547,22,150.392,31.65782445
29,8,29,CS_29,3,278872.8552,5359797.434,22,150.392,31.65782445
30,7,30,CS_30,3,278845.1818,5359653.727,22,150.392,31.65782445
31,6,31,CS_31,6,278827.1817,5359576.728,22,150.232,27.29169712
32,8,32,CS_32,2,278855.5682,5359731.446,22,150.392,31.65782445
33,3,33,CS_33,3,278901.24,5359952.152,22,150.392,31.65782445
34,2,34,CS_34,1,278918.9562,5360029.162,22,150.332,28.76569115
35,6,35,CS_35,3,278890.8542,5359874.433,22,150.392,31.65782445
36,3,36,CS_36,3,278813.0921,5359977.667,22,150.392,31.65782445
37,6,37,CS_37,10,278749.6982,5359679.951,22,150.392,31.65782445
38,4,38,CS_38,2,278777.6404,5359823.223,22,150.392,31.65782445
39,5,39,CS_39,3,278759.6405,5359746.224,22,150.392,31.65782445
40,5,40,CS_40,4,278795.3751,5359900.657,22,150.392,31.65782445
41,3,41,CS_41,10,278713.9616,5359525.519,22,150.191,18.1434134
42,5,42,CS_42,3,278731.9633,5359602.518,22,150.232,27.29169712
43,3,43,CS_43,5,278668.4743,5359883.101,22,150.392,31.65782445
44,3,44,CS_44,4,278619.7669,5359584.815,22,150.232,27.29169712
45,3,45,CS_45,9,278640.3659,5359728.372,22,150.392,31.65782445
46,2,46,CS_46,2,278658.1018,5359805.806,22,150.392,31.65782445
47,1,47,CS_47,7,278679.1461,5359960.81,22,150.392,31.65782445
48,4,48,CS_48,7,278630.4229,5359662.099,22,150.392,31.65782445
49,5,49,CS_49,1,278904.5203,5359462.472,22,150.373,6.639976343
50,5,50,CS_50,3,278985.4601,5359447.856,22,150.373,6.639976343
51,2,51,CS_51,8,278608.9471,5359496.072,22,150.052,17.35518616
52,3,52,CS_52,5,278682.9845,5359493.185,22,150.191,18.1434134
53,3,53,CS_53,4,278756.5923,5359479.276,22,150.191,18.1434134
54,5,54,CS_54,4,278830.4826,5359465.357,22,150.232,27.29169712
55,4,55,CS_55,3,279052.1509,5359445.259,22,150.191,18.1434134
56,3,56,CS_56,2,279111.0648,5359431.927,22,150.191,18.1434134
57,4,57,CS_57,1,279162.7784,5359429.914,22,150.273,9.028328687
58,2,58,CS_58,2,279207.145,5359428.188,22,150.273,9.028328687
59,2,59,CS_59,9,278692.5604,5360116.112,22,150.392,31.65782445
60,4,60,CS_60,3,279201.9701,5360051.686,22,150.332,28.76569115
61,6,61,CS_61,2,279142.6329,5360053.995,22,150.332,28.76569115
62,4,62,CS_62,7,279076.3792,5360067.613,22,150.332,28.76569115
63,3,63,CS_63,6,278995.0024,5360070.781,22,150.332,28.76569115
64,3,64,CS_64,3,278847.1068,5360088.008,22,150.332,28.76569115
65,2,65,CS_65,5,278921.1364,5360085.123,22,150.332,28.76569115
66,4,66,CS_66,3,279253.2493,5360038.651,22,150.332,28.76569115
67,2,67,CS_67,4,278773.507,5360101.916,22,150.392,31.65782445
68,3,68,CS_68,5,279305.2396,5360036.629,22,150.111,27.21371606
69,5,69,CS_69,2,279295.8798,5359992.412,22,150.111,27.21371606
70,2,70,CS_70,4,278690.8243,5360071.597,22,150.392,31.65782445
71,1,71,CS_71,5,278681.3121,5360016.347,22,150.392,31.65782445
72,2,72,CS_72,2,278749.7318,5360058.261,22,150.392,31.65782445
