Date,Ear_tag,Sex,New_collar,Old_collar,Handler,
6/22/2016,3722,Unknown,149.193,,"JS, MR",
8/18/2016,3721,M,149.333,,"JS, MR",
8/20/2016,3720,Unknown,,,"JS, MR, EVW",
11/13/2016,3701,Unknown,149.432,,"AH, MR",
11/13/2016,3702,Unknown,,,"AH, MR",
11/15/2016,3721,M,,,"AH, MR",
11/15/2016,6703,Unknown,,,"AH, MR",
11/26/2016,3719,Unknown,149.535,,"AH, MR",
12/1/2016,3701,Unknown,,,"AH, MR",
12/1/2016,3704,Unknown,149.313,,"Ah, MR",
6/25/2017,3705,Unknown,149.673,,"MR, TH",
6/26/2017,3706,Unknown,,,"MR, TH",
6/26/2017,3707,Unknown,149.394,,"MR, TH",
6/28/2017,3708,Unknown,149.452,,"MR, TH",
6/28/2017,6704,F,149.142,,"MR, TH",
10/8/2017,1403,Unknown,149.494,,"MR, JBF, PL",
10/8/2017,3761,Unknown,,,"MR, JBF, PL",
10/8/2017,3714,Unknown,149.023,,"MR, JBF, PL",
10/8/2017,3718,Unknown,149.254,,"MR, JBF, PL",
10/8/2017,,,,,"MR, JBF, PL",
10/8/2017,3710,F,149.124,,"MR, JBF, PL",
10/8/2017,3709,M,149.093,,"MR, JBF, PL",
10/10/2017,1425,M,149.653,,"JBF, PL",
10/10/2017,3769,M,149.274,,"JBF, PL",
5/15/2018,3716,F,149.173,,"JBF, MR, BS, KG",
5/15/2018,2040,M,149.633,,"JBF, MR, BS, KG",
5/15/2018,2034,F,149.572,,"JBF, MR, BS, KG",
5/15/2018,1425,M,149.653,,"JBF, MR, BS, KG",
5/18/2018,1697,,149.213,,"JBF, KG",
5/18/2018,1695,F,,,"JBF, KG",
5/18/2018,,M,,,"JNF, KG",
5/18/2018,1425,M,149.653,,"JBF, KG",
5/18/2018,2034,M,149.572,,"JBF, KG",
5/18/2018,3719,F,149.003,149.535,"JBF, KG",
5/18/2018,1698,F,149.053,,"JBF, KG",
5/18/2018,1700,F,149.313,,"JBF, KG",
5/18/2018,1699,M,149.613,,"JBF, KG",
5/18/2018,,,,,"JBF, KG",
5/18/2018,2076,F,149.352,,"JBF, KG",
11/1/2018,A1675,M,149.412,,JBF,
11/2/2018,A0461,F,149.594,,JT,
11/2/2018,A1674,F,none,,JT,
11/2/2018,A1698,F,149.294,149.053,JBF,
11/2/2018,A1700,F,149.233,149.313,JBF,
11/2/2018,A2034,F,149.513,,JBF,
11/2/2018,A2057,F,none,,JT,
11/2/2018,A1688,M,149.124,,JBF,
11/5/2018,A0461,F,,,JBF,
11/5/2018,A1673,F,none,,JT,
11/5/2018,A1675,M,,,JT,
11/5/2018,A1693,F,none,,JT,
11/5/2018,A1698,F,,,JBF,
