.id,rank,model,ΔAICc,ΔRMSPE (μm),DOF[area],ΔRMSPE (cm),ΔRMSPE (m)
149.093,1,IID isotropic error,0,202019.71253257513,12.639000938203063,NA,NA
149.093,2,OUf isotropic error,2.4019314972811685,6.706767919695267,12.511594431242868,NA,NA
149.093,3,OU isotropic error,2.4473590727201326,1039203.3156033733,12.148407587827572,NA,NA
149.093,4,OUF isotropic error,5.401930857395371,0,8.359717871016738,NA,NA
149.093,5,OUF anisotropic error,5.827839130403277,8632024.232753765,0.05436292350611176,NA,NA
149.124,1,IID isotropic error,0,0,13.801803172389292,NA,NA
149.124,2,OU isotropic error,2.691666679436537,0.2903422426925317,13.801803016037857,NA,NA
149.124,3,OUf isotropic error,2.69166668356263,0.38577491068281233,1.1730804658192612e-13,NA,NA
149.124,4,OUF isotropic error,5.767857164729946,0.2507918708261059,13.801803041233192,NA,NA
149.124,5,OUF anisotropic error,13.129356933995666,488800.1452584945,2.3345900525986515e-9,NA,NA
149.173,1,IID anisotropic error,0,2322320.909019652,11.566490127510482,NA,NA
149.173,2,IID isotropic error,1.1956687002492572,0.29042575988569297,13.907545135746583,NA,NA
149.173,3,OUf anisotropic error,3.026315864754565,2322317.747037261,11.566490636115038,NA,NA
149.173,4,OU anisotropic error,3.0263160374428253,2322334.4512794316,11.566488762589763,NA,NA
149.173,5,OUf isotropic error,3.684846182977253,0,9.535064898714922e-16,NA,NA
149.173,6,OU isotropic error,3.6848461962488273,0.3522467295624665,13.90754512175674,NA,NA
149.173,7,OUF anisotropic error,6.388888721273361,2322306.9535171133,8.183801200591989e-11,NA,NA
149.173,8,OUΩ anisotropic error,6.388888836736896,2322317.9114726805,3.286021297810066e-11,NA,NA
149.173,9,OUΩ isotropic error,6.422941440115437,0.85751335632267,13.907545018699643,NA,NA
149.173,10,OUF isotropic error,6.422941498645287,0.3111892965534935,13.907545132181191,NA,NA
149.213,1,IID anisotropic error,0,NA,12.789549189516688,613.4792867414787,NA
149.213,2,OUf anisotropic error,2.5951697680634425,NA,12.589110507687643,728.1484608626585,NA
149.213,3,OU anisotropic error,2.730941069198707,NA,12.645342116538204,709.8763468773512,NA
149.213,4,OUF anisotropic error,5.809466930459166,NA,12.5890114196172,728.1871399935695,NA
149.213,5,OUΩ anisotropic error,6.245443809911649,NA,8.884998381894457,611.0586347159483,NA
149.213,6,IID isotropic error,19.9879330418039,NA,17.63092473690146,23.347682009270443,NA
149.213,7,OUf isotropic error,22.200426793013094,NA,17.059977031113664,132.65672329592633,NA
149.213,8,OU isotropic error,22.313402072157714,NA,17.10446724743276,117.56399858424942,NA
149.213,9,OUΩ isotropic error,24.6427492268856,NA,0.27685754879086144,0,NA
149.213,10,OUF isotropic error,24.868411016575806,NA,17.0599765351551,132.65682929814062,NA
149.233,1,IID isotropic error,0,0,29.9529924087949,NA,NA
149.233,2,OU isotropic error,2.2473867742589846,0.41607493983519817,6.764758865210624e-13,NA,NA
149.233,3,OUf isotropic error,2.2473867742589846,0.41607493983519817,6.764758865210624e-13,NA,NA
149.233,4,OUF isotropic error,4.6071428681198086,0.31118058529955306,29.950593006017574,NA,NA
149.233,5,OUF anisotropic error,6.7672555457029375,3186707.8990842546,30.42553739282224,NA,NA
149.294,1,IID anisotropic error,0,NA,22.91932396201037,0,NA
149.294,2,OU anisotropic error,1.7393755209783421,NA,21.563829650000102,61.30545387724737,NA
149.294,3,OUf anisotropic error,2.3404386528056875,NA,21.73027867500065,35.66061158522729,NA
149.294,4,IID isotropic error,3.9762077580832056,NA,24.978065146967772,332.8087963999465,NA
149.294,5,OU isotropic error,4.424598867494183,NA,23.025267235558953,463.91866417592524,NA
149.294,6,OUF anisotropic error,4.647713870285088,NA,22.118456015702968,3.6281376732375747,NA
149.294,7,OUf isotropic error,4.767030973086435,NA,23.2273744061863,450.4914218321048,NA
149.294,8,OUF isotropic error,6.92124881992288,NA,23.730855908571712,391.11354589862657,NA
149.394,1,OUf isotropic error,0,NA,13.290789973243871,NA,7.12446119242145
