.id,rank,model,ΔAICc,ΔRMSPE (μm),DOF[area],ΔRMSPE (cm),ΔRMSPE (m)
149.093,1,IID isotropic error,0,202019.71253257513,12.639000938203063,NA,NA
149.124,1,IID isotropic error,0,0,13.801803172389292,NA,NA
149.173,1,IID anisotropic error,0,2322320.909019652,11.566490127510482,NA,NA
149.213,1,IID anisotropic error,0,NA,12.789549189516688,613.4792867414787,NA
149.233,1,IID isotropic error,0,0,29.9529924087949,NA,NA
149.294,1,IID anisotropic error,0,NA,22.91932396201037,0,NA
149.394,1,OUf isotropic error,0,NA,13.290789973243871,NA,7.12446119242145
149.423,1,IID anisotropic error,0,42727.412801468745,27.65397957433831,NA,NA
149.452,1,IID anisotropic error,0,3977356.709015851,15.03825740745248,NA,NA
149.513,1,IID isotropic error,0,NA,11.899682718189789,NA,0
149.535,1,OU anisotropic error,0,NA,18.382603175625754,NA,1.7833400930264673
149.594,1,IID anisotropic error,0,1973323.3398850132,30.492228204094605,NA,NA
149.613,1,IID isotropic error,0,0.37212222991911403,21.928514080732004,NA,NA
149.633,1,IID isotropic error,0,0,13.179444288956198,NA,NA
149.673,1,IID isotropic error,0,NA,23.74258243444653,NA,2.466124531343496
150.032,1,OU anisotropic error,0,NA,13.586040749279837,857.3761071796525,NA
150.052,1,IID isotropic error,0,NA,16.143351685210895,0,NA
150.072,1,IID anisotropic error,0,NA,23.638807609051465,NA,2.661552238308701
150.091,1,IID isotropic error,0,NA,22.53231999446825,39.10566687204948,NA
150.111,1,IID anisotropic error,0,2492921.370654642,32.67376090284189,NA,NA
150.132,1,IID isotropic error,0,0,2.5805599713872125,NA,NA
150.154,1,IID isotropic error,0,NA,12.462923928637792,98.81092948000187,NA
150.173,1,IID isotropic error,0,0.8910364925895919,7.507349820580581,NA,NA
150.191,1,IID isotropic error,0,522560.9736554589,30.369660747737743,NA,NA
150.232,1,IID anisotropic error,0,NA,23.528642285694,1784.1927262023403,NA
150.273,1,OU isotropic error,0,NA,17.557903599815045,154.6042005115268,NA
150.314,1,OU isotropic error,0,NA,29.761364837388413,NA,3.2015058911918146
150.332,1,IID anisotropic error,0,NA,31.848679756293667,30.6581927307775,NA
150.373,1,IID isotropic error,0,0.5320912492834395,10.912016485159862,NA,NA
150.392,1,IID anisotropic error,0,5752556.167751635,15.314282746632857,NA,NA
