model,effect,group,term,estimate,std.error,statistic,df,p.value
1,fixed,NA,(Intercept),-2.3049326691623455,0.09833690743717514,-23.43914130749847,42.9342264012477,4.278347935096285e-26
1,fixed,NA,overPCA_s,-0.12226067401728634,0.08723298793761028,-1.4015417436432205,889.4108296098292,0.16140098867229224
1,fixed,NA,underPCA_s,0.06986693860185887,0.09966364937791494,0.7010272956886234,107.7588438705961,0.48479704870926565
1,fixed,NA,VAAN_CN_s,0.093140900267998,0.11450725373496978,0.8134061138482562,34.77846837038431,0.4215192887951086
1,fixed,NA,VAAN_CP_s,-0.006580571667819845,0.08643733614539144,-0.07613112529001392,885.5988446280018,0.9393319723039969
1,fixed,NA,overPCA_s:VAAN_CN_s,-0.1182185450067576,0.12459545402143095,-0.9488190876243647,852.8150976931253,0.3429814201776462
1,fixed,NA,overPCA_s:VAAN_CP_s,0.07926756654886447,0.09581632338851563,0.827286664167343,872.6248498485094,0.40830076838548957
1,fixed,NA,underPCA_s:VAAN_CN_s,0.02076047380126837,0.12097049671326818,0.1716160085750176,881.9661638141848,0.8637787882835197
1,fixed,NA,underPCA_s:VAAN_CP_s,0.07863089562355825,0.10984605261085802,0.7158281408811024,880.7335483418686,0.47428721011769104
1,ran_pars,CollarID,sd__(Intercept),0.025925525517443686,NA,NA,NA,NA
1,ran_pars,CollarID,cor__(Intercept).VAAN_CN_s,-0.9977028669015153,NA,NA,NA,NA
1,ran_pars,CollarID,sd__VAAN_CN_s,0.3995254093003928,NA,NA,NA,NA
1,ran_pars,CollarID.1,sd__(Intercept),0.295859826912035,NA,NA,NA,NA
1,ran_pars,CollarID.1,cor__(Intercept).underPCA_s,-1,NA,NA,NA,NA
1,ran_pars,CollarID.1,sd__underPCA_s,0.1318660444193156,NA,NA,NA,NA
1,ran_pars,Residual,sd__Observation,1.912487589223193,NA,NA,NA,NA
2,fixed,NA,(Intercept),-2.320875744981875,0.10027701691945846,-23.14464287311199,41.359422734304104,2.728064896588489e-25
2,fixed,NA,overPCA_s,-0.1115322145245159,0.06980990445265625,-1.5976560260178398,908.5915666674204,0.1104672429023455
2,fixed,NA,underPCA_s,0.06460173960611257,0.08171902078915624,0.7905349205393922,224.91828089864936,0.43004817155549646
2,fixed,NA,overPCA_s:underPCA_s,-0.06967460992488446,0.08635080297203274,-0.8068785410999669,895.8794373250773,0.4199506153366904
2,ran_pars,CollarID,sd__(Intercept),0.330605029783511,NA,NA,NA,NA
2,ran_pars,CollarID,cor__(Intercept).underPCA_s,-1,NA,NA,NA,NA
2,ran_pars,CollarID,sd__underPCA_s,0.0639307397694118,NA,NA,NA,NA
2,ran_pars,Residual,sd__Observation,1.9378952397745202,NA,NA,NA,NA
3,fixed,NA,(Intercept),-2.3041138595828405,0.08729274914183563,-26.395249115582942,28.846345988170963,9.452672345402244e-22
3,fixed,NA,VAAN_CN_s,0.1509001637290112,0.10957331055552992,1.3771616734399708,29.262286798662036,0.17890660980739553
3,fixed,NA,VAAN_CP_s,0.0046124581626636706,0.08945240831777507,0.051563264191592816,897.4087790274269,0.9588881661127394
3,fixed,NA,VAAN_CN_s:VAAN_CP_s,5.435807886877716e-5,0.08547130288551408,6.359804640112713e-4,902.1762233963375,0.9994927016367837
3,ran_pars,CollarID,sd__(Intercept),0.29600118613180326,NA,NA,NA,NA
3,ran_pars,CollarID,cor__(Intercept).VAAN_CN_s,-0.26075821691592427,NA,NA,NA,NA
3,ran_pars,CollarID,sd__VAAN_CN_s,0.4058833842328706,NA,NA,NA,NA
3,ran_pars,Residual,sd__Observation,1.9162812140404668,NA,NA,NA,NA
4,fixed,NA,(Intercept),-2.2885928074319084,0.09069966027589654,-25.232650270908483,28.525335628840153,4.69821106495098e-21
4,ran_pars,CollarID,sd__(Intercept),0.3297357690207097,NA,NA,NA,NA
4,ran_pars,Residual,sd__Observation,1.9424495630501815,NA,NA,NA,NA
